,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,14.0,13.0,15.0,15.0
1,Avg. Estimate,-0.56,-0.31,-0.28,0.11
2,Low Estimate,-0.69,-0.48,-0.55,-0.27
3,High Estimate,-0.34,-0.19,0.31,0.5
4,Year Ago EPS,-0.6,-0.56,-1.14,-0.28
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,12,12,13,12
1,Avg. Estimate,645M,829.05M,4.45B,4.5B
2,Low Estimate,612M,716.1M,4.34B,4.27B
3,High Estimate,685.1M,884.7M,4.54B,4.68B
4,Year Ago Sales,737.9M,840.7M,4.51B,4.45B
5,Sales Growth (year/est),-12.60%,-1.40%,-1.30%,1.20%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,-0.39,-0.3,0.2,-0.16
1,EPS Actual,-0.6,-0.56,0.18,0.04
2,Difference,-0.21,-0.26,-0.02,0.2
3,Surprise %,-53.80%,-86.70%,-10.00%,125.00%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,-0.56,-0.31,-0.28,0.11
1,7 Days Ago,-0.55,-0.3,-0.26,0.11
2,30 Days Ago,-0.48,-0.29,-0.19,0.18
3,60 Days Ago,-0.42,-0.25,0.06,0.44
4,90 Days Ago,-0.35,-0.18,0.06,0.55
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,1,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,2,2,2,1
,Growth Estimates,MAT,Industry,Sector,S&P 500
0,Current Qtr.,6.70%,N/A,N/A,-0.02
1,Next Qtr.,44.60%,N/A,N/A,0.04
2,Current Year,75.40%,N/A,N/A,0.05
3,Next Year,139.30%,N/A,N/A,0.11
4,Next 5 Years (per annum),10.00%,N/A,N/A,0.10
5,Past 5 Years (per annum),-4.48%,N/A,N/A,N/A
