,0,1
0,Market Cap (intraday) 5,23.69B
1,Enterprise Value 3,33.29B
2,Trailing P/E ,N/A
3,Forward P/E 1,8.73
4,PEG Ratio (5 yr expected) 1,1.51
5,Price/Sales (ttm),0.11
6,Price/Book (mrq),2.58
7,Enterprise Value/Revenue 3,0.16
8,Enterprise Value/EBITDA 6,8.12
,0,1
0,Fiscal Year Ends ,"Mar 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,-0.15%
1,Operating Margin (ttm),1.47%
,0,1
0,Return on Assets (ttm),3.12%
1,Return on Equity (ttm),-0.74%
,0,1
0,Revenue (ttm),213.52B
1,Revenue Per Share (ttm),"1,068.93"
2,Quarterly Revenue Growth (yoy),4.80%
3,Gross Profit (ttm),11.18B
4,EBITDA ,4.1B
5,Net Income Avi to Common (ttm),-319M
6,Diluted EPS (ttm),-1.58
7,Quarterly Earnings Growth (yoy),-48.10%
,0,1
0,Total Cash (mrq),1.85B
1,Total Cash Per Share (mrq),9.64
2,Total Debt (mrq),9.85B
3,Total Debt/Equity (mrq),91.25
4,Current Ratio (mrq),1.02
5,Book Value Per Share (mrq),47.88
,0,1
0,Operating Cash Flow (ttm),3.16B
1,Levered Free Cash Flow (ttm),2.2B
,0,1
0,Beta (3Y Monthly) ,1.54
1,52-Week Change 3,-15.01%
2,S&P500 52-Week Change 3,9.16%
3,52 Week High 3,151.86
4,52 Week Low 3,106.11
5,50-Day Moving Average 3,117.13
6,200-Day Moving Average 3,121.88
,0,1
0,Avg Vol (3 month) 3,1.38M
1,Avg Vol (10 day) 3,1.27M
2,Shares Outstanding 5,191.82M
3,Float ,191.32M
4,% Held by Insiders 1,0.29%
5,% Held by Institutions 1,88.97%
6,"Shares Short (Apr 15, 2019) 4",6.18M
7,"Short Ratio (Apr 15, 2019) 4",4.55
8,"Short % of Float (Apr 15, 2019) 4",3.43%
9,"Short % of Shares Outstanding (Apr 15, 2019) 4",3.22%
10,"Shares Short (prior month Mar 15, 2019) 4",5.11M
,0,1
0,Forward Annual Dividend Rate 4,1.56
1,Forward Annual Dividend Yield 4,1.31%
2,Trailing Annual Dividend Rate 3,1.46
3,Trailing Annual Dividend Yield 3,1.19%
4,5 Year Average Dividend Yield 4,0.73
5,Payout Ratio 4,N/A
6,Dividend Date 3,"Jul 1, 2019"
7,Ex-Dividend Date 4,"May 31, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Jan 5, 1998"
