,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,17.0,17.0,20.0,21.0
1,Avg. Estimate,0.61,0.56,2.48,2.67
2,Low Estimate,0.6,0.54,2.44,2.6
3,High Estimate,0.63,0.59,2.54,2.81
4,Year Ago EPS,0.62,0.56,2.43,2.48
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,15,15,19,18
1,Avg. Estimate,6.55B,6.05B,26B,26.74B
2,Low Estimate,6.37B,5.86B,25.5B,26.24B
3,High Estimate,6.92B,6.26B,26.56B,27.28B
4,Year Ago Sales,6.76B,6.11B,25.94B,26B
5,Sales Growth (year/est),-3.20%,-1.10%,0.30%,2.80%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.61,0.54,0.61,0.63
1,EPS Actual,0.62,0.56,0.62,0.63
2,Difference,0.01,0.02,0.01,0
3,Surprise %,1.60%,3.70%,1.60%,0.00%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.61,0.56,2.48,2.67
1,7 Days Ago,0.61,0.56,2.48,2.67
2,30 Days Ago,0.61,0.57,2.48,2.68
3,60 Days Ago,0.61,0.57,2.48,2.68
4,90 Days Ago,0.61,0.57,2.49,2.69
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,1,N/A,1,1
1,Up Last 30 Days,4,1,2,3
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,MDLZ,Industry,Sector,S&P 500
0,Current Qtr.,-1.60%,N/A,N/A,-0.00
1,Next Qtr.,N/A,N/A,N/A,0.04
2,Current Year,2.10%,N/A,N/A,0.05
3,Next Year,7.70%,N/A,N/A,0.11
4,Next 5 Years (per annum),5.83%,N/A,N/A,0.10
5,Past 5 Years (per annum),8.74%,N/A,N/A,N/A
