,0,1
0,Market Cap (intraday) 5,47.57B
1,Enterprise Value 3,52.17B
2,Trailing P/E ,29.02
3,Forward P/E 1,18.30
4,PEG Ratio (5 yr expected) 1,2.28
5,Price/Sales (ttm),3.18
6,Price/Book (mrq),6.29
7,Enterprise Value/Revenue 3,3.49
8,Enterprise Value/EBITDA 6,15.03
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,11.04%
1,Operating Margin (ttm),19.91%
,0,1
0,Return on Assets (ttm),8.86%
1,Return on Equity (ttm),22.23%
,0,1
0,Revenue (ttm),14.95B
1,Revenue Per Share (ttm),29.55
2,Quarterly Revenue Growth (yoy),0.70%
3,Gross Profit (ttm),6.56B
4,EBITDA ,3.47B
5,Net Income Avi to Common (ttm),1.65B
6,Diluted EPS (ttm),3.23
7,Quarterly Earnings Growth (yoy),427.60%
,0,1
0,Total Cash (mrq),1.07B
1,Total Cash Per Share (mrq),2.11
2,Total Debt (mrq),5.82B
3,Total Debt/Equity (mrq),76.79
4,Current Ratio (mrq),1.21
5,Book Value Per Share (mrq),14.91
,0,1
0,Operating Cash Flow (ttm),2.43B
1,Levered Free Cash Flow (ttm),2.15B
,0,1
0,Beta (3Y Monthly) ,0.76
1,52-Week Change 3,13.09%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,95.82
4,52 Week Low 3,74.30
5,50-Day Moving Average 3,92.93
6,200-Day Moving Average 3,86.78
,0,1
0,Avg Vol (3 month) 3,1.66M
1,Avg Vol (10 day) 3,1.48M
2,Shares Outstanding 5,507.56M
3,Float ,504.12M
4,% Held by Insiders 1,0.20%
5,% Held by Institutions 1,88.47%
6,"Shares Short (Mar 29, 2019) 4",5.79M
7,"Short Ratio (Mar 29, 2019) 4",3.18
8,"Short % of Float (Mar 29, 2019) 4",1.14%
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",1.14%
10,"Shares Short (prior month Feb 28, 2019) 4",5.22M
,0,1
0,Forward Annual Dividend Rate 4,1.66
1,Forward Annual Dividend Yield 4,1.77%
2,Trailing Annual Dividend Rate 3,1.62
3,Trailing Annual Dividend Yield 3,1.72%
4,5 Year Average Dividend Yield 4,1.90
5,Payout Ratio 4,48.92%
6,Dividend Date 3,"May 15, 2019"
7,Ex-Dividend Date 4,"Apr 9, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Jul 1, 2002"
