,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"42,294,000","40,122,000","39,807,000","39,498,000"
2,Cost of Revenue,"13,488,000","12,503,000","13,363,000","14,423,000"
3,Gross Profit,"28,806,000","27,619,000","26,444,000","25,075,000"
4,Operating Expenses,,,,
5,Research Development,"9,652,000","9,687,000","6,784,000","6,613,000"
6,Selling General and Administrative,"9,555,000","9,784,000","9,589,000","9,799,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"33,719,000","31,974,000","29,736,000","30,835,000"
10,Operating Income or Loss,"8,575,000","8,148,000","10,071,000","8,663,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-380,000","-1,627,000","-5,412,000","-3,262,000"
13,Earnings Before Interest and Taxes,"8,575,000","8,148,000","10,071,000","8,663,000"
14,Interest Expense,"-772,000","-754,000","-693,000","-672,000"
15,Income Before Tax,"8,701,000","6,521,000","4,659,000","5,401,000"
16,Income Tax Expense,"2,508,000","4,103,000","718,000","942,000"
17,Minority Interest,-,"233,000","220,000","91,000"
18,Net Income From Continuing Ops,"6,193,000","2,418,000","3,941,000","4,459,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"6,220,000","2,394,000","3,920,000","4,442,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"6,220,000","2,394,000","3,920,000","4,442,000"
