,0,1
0,Market Cap (intraday) 5,76.72B
1,Enterprise Value 3,-136.73B
2,Trailing P/E ,9.50
3,Forward P/E 1,8.39
4,PEG Ratio (5 yr expected) 1,0.85
5,Price/Sales (ttm),1.91
6,Price/Book (mrq),1.06
7,Enterprise Value/Revenue 3,-3.41
8,Enterprise Value/EBITDA 6,N/A
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,21.81%
1,Operating Margin (ttm),34.21%
,0,1
0,Return on Assets (ttm),1.04%
1,Return on Equity (ttm),11.12%
,0,1
0,Revenue (ttm),40.11B
1,Revenue Per Share (ttm),23.48
2,Quarterly Revenue Growth (yoy),-10.00%
3,Gross Profit (ttm),35.7B
4,EBITDA ,N/A
5,Net Income Avi to Common (ttm),8.23B
6,Diluted EPS (ttm),4.73
7,Quarterly Earnings Growth (yoy),138.10%
,0,1
0,Total Cash (mrq),512.29B
1,Total Cash Per Share (mrq),299.8
2,Total Debt (mrq),288.05B
3,Total Debt/Equity (mrq),353.85
4,Current Ratio (mrq),1.76
5,Book Value Per Share (mrq),42.20
,0,1
0,Operating Cash Flow (ttm),7.3B
1,Levered Free Cash Flow (ttm),N/A
,0,1
0,Beta (3Y Monthly) ,1.05
1,52-Week Change 3,-15.78%
2,S&P500 52-Week Change 3,10.19%
3,52 Week High 3,55.64
4,52 Week Low 3,36.74
5,50-Day Moving Average 3,42.47
6,200-Day Moving Average 3,43.21
,0,1
0,Avg Vol (3 month) 3,12.89M
1,Avg Vol (10 day) 3,14.31M
2,Shares Outstanding 5,1.71B
3,Float ,1.21B
4,% Held by Insiders 1,24.28%
5,% Held by Institutions 1,62.15%
6,"Shares Short (Mar 15, 2019) 4",13.41M
7,"Short Ratio (Mar 15, 2019) 4",1.28
8,"Short % of Float (Mar 15, 2019) 4",1.13%
9,"Short % of Shares Outstanding (Mar 15, 2019) 4",0.79%
10,"Shares Short (prior month Feb 15, 2019) 4",11.44M
,0,1
0,Forward Annual Dividend Rate 4,1.2
1,Forward Annual Dividend Yield 4,2.75%
2,Trailing Annual Dividend Rate 3,1.15
3,Trailing Annual Dividend Yield 3,2.56%
4,5 Year Average Dividend Yield 4,1.75
5,Payout Ratio 4,23.26%
6,Dividend Date 3,"Feb 15, 2019"
7,Ex-Dividend Date 4,"Jan 30, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Jan 27, 2000"
