,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"5,796,302","5,464,187","5,105,883","4,518,624"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"5,796,302","5,464,187","5,105,883","4,518,624"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,371,485","2,235,646","2,198,130","2,031,262"
7,Non Recurring,-,-,-,-
8,Others,"823,529","771,442","665,942","637,157"
9,Total Operating Expenses,"3,195,014","3,007,088","2,864,072","2,668,419"
10,Operating Income or Loss,"2,601,288","2,457,099","2,241,811","1,850,205"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-93,048","-133,237","-183,413","-175,513"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"2,508,240","2,323,862","2,058,398","1,674,692"
16,Income Tax Expense,"590,160","915,556","743,284","595,025"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,918,080","1,408,306","1,315,114","1,079,667"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,918,080","1,408,306","1,315,114","1,079,667"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,836,035","1,327,503","1,223,459","987,689"
