,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,20.0,20.0,19.0,20.0
1,Avg. Estimate,0.52,0.57,2.44,2.59
2,Low Estimate,0.51,0.54,2.4,2.33
3,High Estimate,0.53,0.62,2.49,2.9
4,Year Ago EPS,0.73,0.73,2.71,2.44
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,19,19,21,20
1,Avg. Estimate,540.15M,561.59M,2.32B,2.39B
2,Low Estimate,539.7M,540M,2.3B,2.23B
3,High Estimate,540.91M,585.87M,2.34B,2.56B
4,Year Ago Sales,648.6M,633.15M,2.48B,2.32B
5,Sales Growth (year/est),-16.70%,-11.30%,-6.60%,3.30%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.7,0.7,0.75,0.62
1,EPS Actual,0.73,0.73,0.75,0.6
2,Difference,0.03,0.03,0,-0.02
3,Surprise %,4.30%,4.30%,0.00%,-3.20%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.52,0.57,2.44,2.59
1,7 Days Ago,0.52,0.57,2.44,2.6
2,30 Days Ago,0.53,0.58,2.46,2.6
3,60 Days Ago,0.53,0.59,2.46,2.6
4,90 Days Ago,0.65,0.69,2.72,2.9
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,1,1,1,1
,Growth Estimates,MXIM,Industry,Sector,S&P 500
0,Current Qtr.,-28.80%,N/A,N/A,-0.00
1,Next Qtr.,-21.90%,N/A,N/A,0.04
2,Current Year,-10.00%,N/A,N/A,0.05
3,Next Year,6.10%,N/A,N/A,0.11
4,Next 5 Years (per annum),13.36%,N/A,N/A,0.10
5,Past 5 Years (per annum),15.83%,N/A,N/A,N/A
