,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,16.0,16.0,18.0,17.0
1,Avg. Estimate,0.79,1.02,4.41,4.71
2,Low Estimate,0.7,0.92,4.1,4.38
3,High Estimate,0.95,1.19,4.79,5.12
4,Year Ago EPS,0.96,1.07,4.58,4.41
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,14,14,16,15
1,Avg. Estimate,2.7B,2.91B,11.97B,12.4B
2,Low Estimate,2.58B,2.83B,11.69B,12B
3,High Estimate,2.85B,3.02B,12.27B,12.97B
4,Year Ago Sales,2.68B,2.81B,11.43B,11.97B
5,Sales Growth (year/est),0.50%,3.70%,4.70%,3.60%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.96,1.22,1.19,1.36
1,EPS Actual,0.96,1.07,1.25,1.3
2,Difference,0,-0.15,0.06,-0.06
3,Surprise %,0.00%,-12.30%,5.00%,-4.40%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.79,1.02,4.41,4.71
1,7 Days Ago,0.8,1.02,4.41,4.71
2,30 Days Ago,0.84,1.03,4.4,4.71
3,60 Days Ago,0.88,1.05,4.4,4.75
4,90 Days Ago,1.11,1.25,5.08,5.48
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,1,2,1,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,1,1,N/A,N/A
,Growth Estimates,MYL,Industry,Sector,S&P 500
0,Current Qtr.,-17.70%,N/A,N/A,0.01
1,Next Qtr.,-4.70%,N/A,N/A,0.05
2,Current Year,-3.70%,N/A,N/A,0.05
3,Next Year,6.80%,N/A,N/A,0.11
4,Next 5 Years (per annum),5.10%,N/A,N/A,0.10
5,Past 5 Years (per annum),9.64%,N/A,N/A,N/A
