,0,1
0,Market Cap (intraday) 5,2.98B
1,Enterprise Value 3,101.29B
2,Trailing P/E ,8.18
3,Forward P/E 1,5.72
4,PEG Ratio (5 yr expected) 1,0.52
5,Price/Sales (ttm),1.92
6,Price/Book (mrq),0.86
7,Enterprise Value/Revenue 3,65.22
8,Enterprise Value/EBITDA 6,N/A
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,25.44%
1,Operating Margin (ttm),34.64%
,0,1
0,Return on Assets (ttm),0.36%
1,Return on Equity (ttm),11.23%
,0,1
0,Revenue (ttm),1.55B
1,Revenue Per Share (ttm),5.97
2,Quarterly Revenue Growth (yoy),-28.20%
3,Gross Profit (ttm),1.55B
4,EBITDA ,N/A
5,Net Income Avi to Common (ttm),395M
6,Diluted EPS (ttm),1.49
7,Quarterly Earnings Growth (yoy),N/A
,0,1
0,Total Cash (mrq),1.44B
1,Total Cash Per Share (mrq),5.9
2,Total Debt (mrq),99.72B
3,Total Debt/Equity (mrq),"2,811.39"
4,Current Ratio (mrq),16.51
5,Book Value Per Share (mrq),14.22
,0,1
0,Operating Cash Flow (ttm),1.14B
1,Levered Free Cash Flow (ttm),N/A
,0,1
0,Beta (3Y Monthly) ,2.39
1,52-Week Change 3,-9.31%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,15.02
4,52 Week Low 3,8.23
5,50-Day Moving Average 3,11.94
6,200-Day Moving Average 3,11.50
,0,1
0,Avg Vol (3 month) 3,1.83M
1,Avg Vol (10 day) 3,1.16M
2,Shares Outstanding 5,244.51M
3,Float ,214.48M
4,% Held by Insiders 1,1.84%
5,% Held by Institutions 1,99.38%
6,"Shares Short (Mar 29, 2019) 4",7.69M
7,"Short Ratio (Mar 29, 2019) 4",4.23
8,"Short % of Float (Mar 29, 2019) 4",N/A
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",3.15%
10,"Shares Short (prior month Feb 28, 2019) 4",8.41M
,0,1
0,Forward Annual Dividend Rate 4,0.64
1,Forward Annual Dividend Yield 4,5.53%
2,Trailing Annual Dividend Rate 3,0.64
3,Trailing Annual Dividend Yield 3,5.26%
4,5 Year Average Dividend Yield 4,N/A
5,Payout Ratio 4,42.95%
6,Dividend Date 3,"Mar 15, 2019"
7,Ex-Dividend Date 4,"Feb 28, 2019"
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
