,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,14.0,14.0,15.0,15.0
1,Avg. Estimate,1.17,1.25,5.0,5.48
2,Low Estimate,1.11,1.19,4.85,5.27
3,High Estimate,1.26,1.29,5.15,5.72
4,Year Ago EPS,1.24,1.18,4.84,5.0
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,12,12,14,14
1,Avg. Estimate,633.55M,646.31M,2.59B,2.71B
2,Low Estimate,624M,631M,2.55B,2.64B
3,High Estimate,642.5M,669.5M,2.64B,2.79B
4,Year Ago Sales,666M,615M,2.53B,2.59B
5,Sales Growth (year/est),-4.90%,5.10%,2.60%,4.50%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,1.2,1.17,1.14,1.27
1,EPS Actual,1.24,1.18,1.15,1.26
2,Difference,0.04,0.01,0.01,-0.01
3,Surprise %,3.30%,0.90%,0.90%,-0.80%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.17,1.25,5.0,5.48
1,7 Days Ago,1.17,1.25,5.0,5.48
2,30 Days Ago,1.21,1.27,5.1,5.57
3,60 Days Ago,1.21,1.27,5.12,5.58
4,90 Days Ago,1.25,1.29,5.2,5.67
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,1,N/A,1,1
1,Up Last 30 Days,3,1,3,2
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,8,8,N/A,N/A
,Growth Estimates,NDAQ,Industry,Sector,S&P 500
0,Current Qtr.,-5.60%,N/A,N/A,-0.02
1,Next Qtr.,5.90%,N/A,N/A,0.04
2,Current Year,3.30%,N/A,N/A,0.05
3,Next Year,9.60%,N/A,N/A,0.11
4,Next 5 Years (per annum),9.23%,N/A,N/A,0.10
5,Past 5 Years (per annum),12.85%,N/A,N/A,N/A
