,0,1
0,Market Cap (intraday) 5,14.89B
1,Enterprise Value 3,18.07B
2,Trailing P/E ,32.96
3,Forward P/E 1,16.42
4,PEG Ratio (5 yr expected) 1,1.92
5,Price/Sales (ttm),3.48
6,Price/Book (mrq),2.73
7,Enterprise Value/Revenue 3,4.22
8,Enterprise Value/EBITDA 6,14.00
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,10.71%
1,Operating Margin (ttm),25.28%
,0,1
0,Return on Assets (ttm),4.35%
1,Return on Equity (ttm),8.08%
,0,1
0,Revenue (ttm),4.28B
1,Revenue Per Share (ttm),25.87
2,Quarterly Revenue Growth (yoy),11.50%
3,Gross Profit (ttm),2.53B
4,EBITDA ,1.29B
5,Net Income Avi to Common (ttm),458M
6,Diluted EPS (ttm),2.73
7,Quarterly Earnings Growth (yoy),N/A
,0,1
0,Total Cash (mrq),647M
1,Total Cash Per Share (mrq),3.91
2,Total Debt (mrq),3.83B
3,Total Debt/Equity (mrq),70.31
4,Current Ratio (mrq),0.97
5,Book Value Per Share (mrq),32.99
,0,1
0,Operating Cash Flow (ttm),1.03B
1,Levered Free Cash Flow (ttm),1.03B
,0,1
0,Beta (3Y Monthly) ,0.78
1,52-Week Change 3,3.74%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,96.84
4,52 Week Low 3,75.49
5,50-Day Moving Average 3,86.74
6,200-Day Moving Average 3,85.84
,0,1
0,Avg Vol (3 month) 3,808.51k
1,Avg Vol (10 day) 3,576.92k
2,Shares Outstanding 5,165.42M
3,Float ,115.85M
4,% Held by Insiders 1,18.37%
5,% Held by Institutions 1,81.94%
6,"Shares Short (Mar 29, 2019) 4",4.05M
7,"Short Ratio (Mar 29, 2019) 4",4.45
8,"Short % of Float (Mar 29, 2019) 4",3.50%
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",2.45%
10,"Shares Short (prior month Feb 28, 2019) 4",3.97M
,0,1
0,Forward Annual Dividend Rate 4,1.76
1,Forward Annual Dividend Yield 4,2.01%
2,Trailing Annual Dividend Rate 3,1.70
3,Trailing Annual Dividend Yield 3,1.88%
4,5 Year Average Dividend Yield 4,1.60
5,Payout Ratio 4,62.27%
6,Dividend Date 3,"Mar 29, 2019"
7,Ex-Dividend Date 4,"Mar 14, 2019"
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
