,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,11.0,11.0,17.0,17.0
1,Avg. Estimate,1.92,2.21,8.4,9.07
2,Low Estimate,1.2,1.59,8.25,8.93
3,High Estimate,2.26,2.41,8.63,9.24
4,Year Ago EPS,1.94,2.11,7.7,8.4
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,7,7,13,14
1,Avg. Estimate,4.31B,4.61B,18.93B,19.95B
2,Low Estimate,3.65B,4.28B,16.62B,17.02B
3,High Estimate,4.59B,4.96B,20.21B,22B
4,Year Ago Sales,3.86B,4.07B,16.73B,18.93B
5,Sales Growth (year/est),11.60%,13.40%,13.20%,5.40%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,1.84,2.06,2.15,1.53
1,EPS Actual,1.94,2.11,2.18,1.49
2,Difference,0.1,0.05,0.03,-0.04
3,Surprise %,5.40%,2.40%,1.40%,-2.60%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.92,2.21,8.4,9.07
1,7 Days Ago,1.89,2.2,8.39,9.06
2,30 Days Ago,1.85,2.19,8.4,9.07
3,60 Days Ago,1.85,2.19,8.4,9.06
4,90 Days Ago,1.87,2.2,8.4,9.05
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,1,N/A,1,1
1,Up Last 30 Days,1,N/A,1,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,1,N/A,N/A
,Growth Estimates,NEE,Industry,Sector,S&P 500
0,Current Qtr.,-1.00%,N/A,N/A,-0.02
1,Next Qtr.,4.70%,N/A,N/A,0.04
2,Current Year,9.10%,N/A,N/A,0.05
3,Next Year,8.00%,N/A,N/A,0.11
4,Next 5 Years (per annum),7.45%,N/A,N/A,0.10
5,Past 5 Years (per annum),9.68%,N/A,N/A,N/A
