,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,27.0,26.0,28.0,30.0
1,Avg. Estimate,0.86,0.93,3.59,4.66
2,Low Estimate,0.7,0.71,3.27,3.37
3,High Estimate,1.03,1.14,3.94,7.3
4,Year Ago EPS,0.52,0.71,2.15,3.59
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,21,21,21,24
1,Avg. Estimate,639.49M,654.95M,2.49B,2.88B
2,Low Estimate,583.7M,586.49M,2.26B,2.44B
3,High Estimate,692.5M,767.7M,2.72B,3.29B
4,Year Ago Sales,439M,509M,1.77B,2.49B
5,Sales Growth (year/est),45.70%,28.70%,41.00%,15.70%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,0.41,0.62,0.74,0.82
1,EPS Actual,0.52,0.71,0.82,0.94
2,Difference,0.11,0.09,0.08,0.12
3,Surprise %,26.80%,14.50%,10.80%,14.60%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,0.86,0.93,3.59,4.66
1,7 Days Ago,0.86,0.93,3.58,4.63
2,30 Days Ago,0.84,0.9,3.51,4.4
3,60 Days Ago,0.83,0.89,3.5,4.31
4,90 Days Ago,0.83,0.88,3.42,4.11
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,3,4,4,2
1,Up Last 30 Days,10,12,14,11
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,2,2,3,3
,Growth Estimates,NFX,Industry,Sector,S&P 500
0,Current Qtr.,65.40%,N/A,N/A,0.48
1,Next Qtr.,31.00%,N/A,N/A,0.40
2,Current Year,67.00%,N/A,N/A,0.21
3,Next Year,29.80%,N/A,N/A,0.10
4,Next 5 Years (per annum),31.07%,N/A,N/A,0.11
5,Past 5 Years (per annum),14.36%,N/A,N/A,N/A
