,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"5,409,500","4,983,400","4,745,600","4,325,200"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"5,409,500","4,983,400","4,745,600","4,325,200"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,437,800","3,174,700","3,037,700","2,899,400"
7,Non Recurring,-,-,-,-
8,Others,"223,500","226,400","242,900","192,400"
9,Total Operating Expenses,"3,698,400","3,401,800","3,280,600","3,091,800"
10,Operating Income or Loss,"1,633,900","1,582,300","1,465,000","1,233,400"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,-,"-65,200",-,"-43,200"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"1,633,900","1,517,100","1,465,000","1,190,200"
16,Income Tax Expense,"434,900","484,600","491,200","378,400"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,199,000","1,032,500","973,800","811,800"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,199,000","1,032,500","973,800","811,800"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,130,400","990,400","935,000","789,000"
