,0,1
0,Market Cap (intraday) 5,22.12B
1,Enterprise Value 3,26.63B
2,Trailing P/E ,16.59
3,Forward P/E 1,13.76
4,PEG Ratio (5 yr expected) 1,1.01
5,Price/Sales (ttm),3.83
6,Price/Book (mrq),2.33
7,Enterprise Value/Revenue 3,4.61
8,Enterprise Value/EBITDA 6,N/A
,0,1
0,Fiscal Year Ends ,"Dec 31, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,24.69%
1,Operating Margin (ttm),33.10%
,0,1
0,Return on Assets (ttm),1.10%
1,Return on Equity (ttm),13.97%
,0,1
0,Revenue (ttm),5.78B
1,Revenue Per Share (ttm),25.56
2,Quarterly Revenue Growth (yoy),13.30%
3,Gross Profit (ttm),5.41B
4,EBITDA ,N/A
5,Net Income Avi to Common (ttm),1.36B
6,Diluted EPS (ttm),5.97
7,Quarterly Earnings Growth (yoy),45.70%
,0,1
0,Total Cash (mrq),12.16B
1,Total Cash Per Share (mrq),54.48
2,Total Debt (mrq),15.77B
3,Total Debt/Equity (mrq),N/A
4,Current Ratio (mrq),N/A
5,Book Value Per Share (mrq),42.44
,0,1
0,Operating Cash Flow (ttm),1.26B
1,Levered Free Cash Flow (ttm),N/A
,0,1
0,Beta (3Y Monthly) ,0.98
1,52-Week Change 3,7.88%
2,S&P500 52-Week Change 3,6.68%
3,52 Week High 3,115.61
4,52 Week Low 3,91.06
5,50-Day Moving Average 3,105.11
6,200-Day Moving Average 3,106.21
,0,1
0,Avg Vol (3 month) 3,1.21M
1,Avg Vol (10 day) 3,1.37M
2,Shares Outstanding 5,223.28M
3,Float ,220.55M
4,% Held by Insiders 1,0.50%
5,% Held by Institutions 1,78.29%
6,"Shares Short (Sep 28, 2018) 4",1.96M
7,"Short Ratio (Sep 28, 2018) 4",1.4
8,"Short % of Float (Sep 28, 2018) 4",0.93%
9,"Short % of Shares Outstanding (Sep 28, 2018) 4",0.88%
10,"Shares Short (prior month Aug 31, 2018) 4",1.77M
,0,1
0,Forward Annual Dividend Rate 4,2.2
1,Forward Annual Dividend Yield 4,2.22%
2,Trailing Annual Dividend Rate 3,1.68
3,Trailing Annual Dividend Yield 3,1.69%
4,5 Year Average Dividend Yield 4,1.86
5,Payout Ratio 4,28.14%
6,Dividend Date 3,"Oct 1, 2018"
7,Ex-Dividend Date 4,"Sep 13, 2018"
8,Last Split Factor (new per old) 2,2/1
9,Last Split Date 3,"Dec 10, 1999"
