,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,6.0,6.0,8.0,9.0
1,Avg. Estimate,0.0,0.06,0.41,0.44
2,Low Estimate,-0.03,0.04,0.38,0.37
3,High Estimate,0.02,0.08,0.44,0.56
4,Year Ago EPS,0.06,0.08,0.44,0.41
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,6,6,9,9
1,Avg. Estimate,2.51B,2.62B,10.3B,10.4B
2,Low Estimate,2.44B,2.49B,10.15B,10.03B
3,High Estimate,2.59B,2.79B,10.53B,10.72B
4,Year Ago Sales,2.09B,2.69B,9.02B,10.3B
5,Sales Growth (year/est),20.10%,-2.80%,14.10%,1.00%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.06,0.06,0.04,0.14
1,EPS Actual,0.06,0.08,0.17,0.18
2,Difference,0,0.02,0.13,0.04
3,Surprise %,0.00%,33.30%,325.00%,28.60%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.0,0.06,0.41,0.44
1,7 Days Ago,0.0,0.06,0.4,0.45
2,30 Days Ago,0.0,0.06,0.4,0.44
3,60 Days Ago,0.01,0.06,0.41,0.45
4,90 Days Ago,0.03,0.07,0.41,0.46
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,1,N/A
1,Up Last 30 Days,N/A,1,1,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,1
,Growth Estimates,NWSA,Industry,Sector,S&P 500
0,Current Qtr.,-100.00%,N/A,N/A,0.01
1,Next Qtr.,-25.00%,N/A,N/A,0.05
2,Current Year,-6.80%,N/A,N/A,0.05
3,Next Year,7.30%,N/A,N/A,0.11
4,Next 5 Years (per annum),14.69%,N/A,N/A,0.10
5,Past 5 Years (per annum),9.28%,N/A,N/A,N/A
