,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,11.0,9.0,15.0,14.0
1,Avg. Estimate,1.09,1.59,5.8,6.14
2,Low Estimate,1.04,1.54,5.59,5.79
3,High Estimate,1.14,1.65,5.95,6.45
4,Year Ago EPS,1.14,1.6,5.75,5.8
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,9,9,13,11
1,Avg. Estimate,3.49B,3.79B,15.16B,15.51B
2,Low Estimate,3.42B,3.72B,14.92B,15.06B
3,High Estimate,3.61B,3.9B,15.57B,15.81B
4,Year Ago Sales,3.63B,3.86B,15.29B,15.16B
5,Sales Growth (year/est),-3.80%,-1.90%,-0.80%,2.30%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,1.06,1.54,1.21,1.66
1,EPS Actual,1.14,1.6,1.24,1.77
2,Difference,0.08,0.06,0.03,0.11
3,Surprise %,7.50%,3.90%,2.50%,6.60%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.09,1.59,5.8,6.14
1,7 Days Ago,1.09,1.61,5.8,6.14
2,30 Days Ago,1.1,1.61,5.79,6.14
3,60 Days Ago,1.13,1.62,5.77,6.17
4,90 Days Ago,1.15,1.64,5.78,6.19
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,1,3,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,OMC,Industry,Sector,S&P 500
0,Current Qtr.,-4.40%,N/A,N/A,-0.02
1,Next Qtr.,-0.60%,N/A,N/A,0.05
2,Current Year,0.90%,N/A,N/A,0.05
3,Next Year,5.90%,N/A,N/A,0.11
4,Next 5 Years (per annum),2.40%,N/A,N/A,0.10
5,Past 5 Years (per annum),8.06%,N/A,N/A,N/A
