,Earnings Estimate,Current Qtr. (Apr 2019),Next Qtr. (Jul 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,15.0,12.0,18.0,18.0
1,Avg. Estimate,0.4,0.32,1.42,1.53
2,Low Estimate,0.39,0.26,1.42,1.45
3,High Estimate,0.41,0.37,1.45,1.66
4,Year Ago EPS,0.3,0.26,1.68,1.42
,Revenue Estimate,Current Qtr. (Apr 2019),Next Qtr. (Jul 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,15,12,18,18
1,Avg. Estimate,1.43B,1.37B,5.57B,5.72B
2,Low Estimate,1.4B,1.35B,5.55B,5.65B
3,High Estimate,1.45B,1.4B,5.6B,5.8B
4,Year Ago Sales,1.4B,1.34B,5.47B,5.57B
5,Sales Growth (year/est),1.80%,2.50%,1.90%,2.70%
,Earnings History,4/29/2018,7/30/2018,10/30/2018,1/30/2019
0,EPS Est.,0.3,0.34,0.37,0.38
1,EPS Actual,0.3,0.26,0.39,0.38
2,Difference,0,-0.08,0.02,0
3,Surprise %,0.00%,-23.50%,5.40%,0.00%
,EPS Trend,Current Qtr. (Apr 2019),Next Qtr. (Jul 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.4,0.32,1.42,1.53
1,7 Days Ago,0.4,0.32,1.42,1.53
2,30 Days Ago,0.4,0.32,1.43,1.54
3,60 Days Ago,0.4,0.32,1.43,1.55
4,90 Days Ago,0.4,0.32,1.43,1.56
,EPS Revisions,Current Qtr. (Apr 2019),Next Qtr. (Jul 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,PDCO,Industry,Sector,S&P 500
0,Current Qtr.,33.30%,N/A,N/A,0.02
1,Next Qtr.,23.10%,N/A,N/A,0.04
2,Current Year,-15.50%,N/A,N/A,0.05
3,Next Year,7.70%,N/A,N/A,0.11
4,Next 5 Years (per annum),2.24%,N/A,N/A,0.10
5,Past 5 Years (per annum),-10.16%,N/A,N/A,N/A
