,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2019),Next Year (2020)
0,No. of Analysts,19.0,18.0,23.0,23.0
1,Avg. Estimate,1.1,1.2,4.39,4.69
2,Low Estimate,1.04,1.14,4.2,4.56
3,High Estimate,1.13,1.24,4.58,4.89
4,Year Ago EPS,1.09,1.19,4.22,4.39
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2019),Next Year (2020)
0,No. of Analysts,15,15,20,21
1,Avg. Estimate,16.51B,17.19B,66.77B,68.87B
2,Low Estimate,16.31B,16.97B,65.82B,67.46B
3,High Estimate,16.81B,17.41B,67.82B,71.86B
4,Year Ago Sales,16.65B,17.39B,66.83B,66.77B
5,Sales Growth (year/est),-0.90%,-1.20%,-0.10%,3.10%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,1.08,1.14,0.98,0.9
1,EPS Actual,1.09,1.19,1,0.94
2,Difference,0.01,0.05,0.02,0.04
3,Surprise %,0.90%,4.40%,2.00%,4.40%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2019),Next Year (2020)
0,Current Estimate,1.1,1.2,4.39,4.69
1,7 Days Ago,1.1,1.2,4.4,4.71
2,30 Days Ago,1.1,1.2,4.42,4.71
3,60 Days Ago,1.1,1.2,4.41,4.7
4,90 Days Ago,1.14,1.2,4.41,4.71
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,4,3,5,4
,Growth Estimates,PG,Industry,Sector,S&P 500
0,Current Qtr.,0.90%,N/A,N/A,0.32
1,Next Qtr.,0.80%,N/A,N/A,0.43
2,Current Year,4.00%,N/A,N/A,0.24
3,Next Year,6.80%,N/A,N/A,0.27
4,Next 5 Years (per annum),6.20%,N/A,N/A,0.11
5,Past 5 Years (per annum),0.05%,N/A,N/A,N/A
