,0,1
0,Market Cap (intraday) 5,41.62B
1,Enterprise Value 3,42.47B
2,Trailing P/E ,18.89
3,Forward P/E 1,15.59
4,PEG Ratio (5 yr expected) 1,0.62
5,Price/Sales (ttm),1.42
6,Price/Book (mrq),3.96
7,Enterprise Value/Revenue 3,1.45
8,Enterprise Value/EBITDA 6,13.57
,0,1
0,Fiscal Year Ends ,"Dec 31, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,7.58%
1,Operating Margin (ttm),9.84%
,0,1
0,Return on Assets (ttm),4.51%
1,Return on Equity (ttm),21.50%
,0,1
0,Revenue (ttm),29.34B
1,Revenue Per Share (ttm),50.44
2,Quarterly Revenue Growth (yoy),21.40%
3,Gross Profit (ttm),2.4B
4,EBITDA ,3.13B
5,Net Income Avi to Common (ttm),2.21B
6,Diluted EPS (ttm),3.78
7,Quarterly Earnings Growth (yoy),91.60%
,0,1
0,Total Cash (mrq),3.39B
1,Total Cash Per Share (mrq),5.81
2,Total Debt (mrq),3.86B
3,Total Debt/Equity (mrq),34.40
4,Current Ratio (mrq),0.45
5,Book Value Per Share (mrq),18.04
,0,1
0,Operating Cash Flow (ttm),5.22B
1,Levered Free Cash Flow (ttm),5.24B
,0,1
0,Beta ,0.48
1,52-Week Change 3,44.61%
2,S&P500 52-Week Change 3,15.34%
3,52 Week High 3,71.77
4,52 Week Low 3,47.89
5,50-Day Moving Average 3,68.29
6,200-Day Moving Average 3,62.76
,0,1
0,Avg Vol (3 month) 3,3.09M
1,Avg Vol (10 day) 3,2.37M
2,Shares Outstanding 5,583.1M
3,Float ,578.41M
4,% Held by Insiders 1,0.66%
5,% Held by Institutions 1,82.04%
6,"Shares Short (Sep 14, 2018) 4",9.32M
7,"Short Ratio (Sep 14, 2018) 4",3.13
8,"Short % of Float (Sep 14, 2018) 4",1.62%
9,"Short % of Shares Outstanding (Sep 14, 2018) 4",1.60%
10,"Shares Short (prior month Aug 15, 2018) 4",9.59M
,0,1
0,Forward Annual Dividend Rate 4,1.12
1,Forward Annual Dividend Yield 4,1.59%
2,Trailing Annual Dividend Rate 3,1.12
3,Trailing Annual Dividend Yield 3,1.59%
4,5 Year Average Dividend Yield 4,2.01
5,Payout Ratio 4,29.75%
6,Dividend Date 3,"Feb 9, 2018"
7,Ex-Dividend Date 4,"Feb 1, 2018"
8,Last Split Factor (new per old) 2,1/1
9,Last Split Date 3,"Jan 27, 2014"
