,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,4.0,4.0,6.0,7.0
1,Avg. Estimate,0.33,0.39,1.48,1.58
2,Low Estimate,0.27,0.3,1.13,1.24
3,High Estimate,0.41,0.44,1.85,2.17
4,Year Ago EPS,0.68,0.62,2.87,1.48
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,5,5,6,10
1,Avg. Estimate,704.12M,716.43M,2.88B,3.06B
2,Low Estimate,679.28M,689.73M,2.79B,2.63B
3,High Estimate,795M,805M,3.24B,3.53B
4,Year Ago Sales,555.94M,544.68M,2.39B,2.88B
5,Sales Growth (year/est),26.70%,31.50%,20.70%,6.00%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.37,0.38,0.35,0.42
1,EPS Actual,0.68,0.62,0.6,0.94
2,Difference,0.31,0.24,0.25,0.52
3,Surprise %,83.80%,63.20%,71.40%,123.80%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.33,0.39,1.48,1.58
1,7 Days Ago,0.33,0.39,1.48,1.58
2,30 Days Ago,0.3,0.37,1.41,1.48
3,60 Days Ago,0.39,0.46,1.53,1.69
4,90 Days Ago,0.45,0.48,1.65,1.69
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,PLD,Industry,Sector,S&P 500
0,Current Qtr.,-51.50%,N/A,N/A,-0.02
1,Next Qtr.,-37.10%,N/A,N/A,0.05
2,Current Year,-48.40%,N/A,N/A,0.05
3,Next Year,6.80%,N/A,N/A,0.11
4,Next 5 Years (per annum),-6.05%,N/A,N/A,0.10
5,Past 5 Years (per annum),50.80%,N/A,N/A,N/A
