,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,9.0,9.0,16.0,20.0
1,Avg. Estimate,1.03,1.4,5.39,5.78
2,Low Estimate,1.0,1.34,5.1,5.27
3,High Estimate,1.15,1.44,5.56,6.05
4,Year Ago EPS,1.0,1.41,5.1,5.39
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,7,7,17,18
1,Avg. Estimate,6.73B,7.65B,30.36B,32.1B
2,Low Estimate,6.61B,7.22B,29.1B,30.48B
3,High Estimate,6.87B,7.89B,31.16B,33.61B
4,Year Ago Sales,6.9B,7.73B,29.62B,30.36B
5,Sales Growth (year/est),-2.40%,-1.00%,2.50%,5.70%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.9,1.23,1.28,1.16
1,EPS Actual,1,1.41,1.44,1.25
2,Difference,0.1,0.18,0.16,0.09
3,Surprise %,11.10%,14.60%,12.50%,7.80%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.03,1.4,5.39,5.78
1,7 Days Ago,1.02,1.4,5.4,5.86
2,30 Days Ago,1.02,1.41,5.4,5.85
3,60 Days Ago,1.06,1.37,5.29,5.81
4,90 Days Ago,1.06,1.37,5.29,5.79
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,1,1
1,Up Last 30 Days,N/A,N/A,3,2
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,2,2
,Growth Estimates,PM,Industry,Sector,S&P 500
0,Current Qtr.,3.00%,N/A,N/A,-0.02
1,Next Qtr.,-0.70%,N/A,N/A,0.05
2,Current Year,5.70%,N/A,N/A,0.05
3,Next Year,7.20%,N/A,N/A,0.11
4,Next 5 Years (per annum),7.05%,N/A,N/A,0.10
5,Past 5 Years (per annum),0.18%,N/A,N/A,N/A
