,0,1
0,Market Cap (intraday) 5,64.47B
1,Enterprise Value 3,119.13B
2,Trailing P/E ,12.08
3,Forward P/E 1,11.93
4,PEG Ratio (5 yr expected) 1,1.10
5,Price/Sales (ttm),3.93
6,Price/Book (mrq),1.50
7,Enterprise Value/Revenue 3,7.27
8,Enterprise Value/EBITDA 6,N/A
,0,1
0,Fiscal Year Ends ,"Dec 31, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,35.19%
1,Operating Margin (ttm),35.17%
,0,1
0,Return on Assets (ttm),1.54%
1,Return on Equity (ttm),12.48%
,0,1
0,Revenue (ttm),16.39B
1,Revenue Per Share (ttm),34.62
2,Quarterly Revenue Growth (yoy),7.10%
3,Gross Profit (ttm),15.89B
4,EBITDA ,N/A
5,Net Income Avi to Common (ttm),5.5B
6,Diluted EPS (ttm),11.49
7,Quarterly Earnings Growth (yoy),23.80%
,0,1
0,Total Cash (mrq),9.93B
1,Total Cash Per Share (mrq),21.38
2,Total Debt (mrq),60.64B
3,Total Debt/Equity (mrq),N/A
4,Current Ratio (mrq),N/A
5,Book Value Per Share (mrq),92.29
,0,1
0,Operating Cash Flow (ttm),8.02B
1,Levered Free Cash Flow (ttm),N/A
,0,1
0,Beta ,0.94
1,52-Week Change 3,1.55%
2,S&P500 52-Week Change 3,15.34%
3,52 Week High 3,163.59
4,52 Week Low 3,130.46
5,50-Day Moving Average 3,142.22
6,200-Day Moving Average 3,144.54
,0,1
0,Avg Vol (3 month) 3,1.97M
1,Avg Vol (10 day) 3,1.9M
2,Shares Outstanding 5,464.3M
3,Float ,461.43M
4,% Held by Insiders 1,0.22%
5,% Held by Institutions 1,82.21%
6,"Shares Short (Sep 14, 2018) 4",3M
7,"Short Ratio (Sep 14, 2018) 4",1.76
8,"Short % of Float (Sep 14, 2018) 4",0.64%
9,"Short % of Shares Outstanding (Sep 14, 2018) 4",0.65%
10,"Shares Short (prior month Aug 15, 2018) 4",3.98M
,0,1
0,Forward Annual Dividend Rate 4,3.8
1,Forward Annual Dividend Yield 4,2.74%
2,Trailing Annual Dividend Rate 3,3.00
3,Trailing Annual Dividend Yield 3,2.20%
4,5 Year Average Dividend Yield 4,2.09
5,Payout Ratio 4,26.17%
6,Dividend Date 3,"Aug 6, 2018"
7,Ex-Dividend Date 4,"Jul 16, 2018"
8,Last Split Factor (new per old) 2,2/1
9,Last Split Date 3,"Nov 16, 1992"
