,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,20.0,20.0,21.0,22.0
1,Avg. Estimate,1.45,1.15,5.91,6.58
2,Low Estimate,1.4,1.09,5.78,6.12
3,High Estimate,1.56,1.36,6.27,7.15
4,Year Ago EPS,1.52,1.19,5.87,5.91
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,14,14,19,19
1,Avg. Estimate,3.82B,3.66B,15.41B,15.81B
2,Low Estimate,3.77B,3.49B,15.18B,15.28B
3,High Estimate,3.94B,3.81B,15.85B,16.46B
4,Year Ago Sales,3.78B,3.68B,14.75B,15.41B
5,Sales Growth (year/est),1.20%,-0.50%,4.50%,2.60%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,1.52,1.18,1.39,1.88
1,EPS Actual,1.52,1.19,1.39,1.9
2,Difference,0,0.01,0,0.02
3,Surprise %,0.00%,0.80%,0.00%,1.10%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,1.45,1.15,5.91,6.58
1,7 Days Ago,1.59,1.35,6.22,6.98
2,30 Days Ago,1.6,1.35,6.23,7.02
3,60 Days Ago,1.6,1.35,6.23,7.01
4,90 Days Ago,1.67,1.38,6.33,7.11
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,1,1,1,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,PPG,Industry,Sector,S&P 500
0,Current Qtr.,-4.60%,N/A,N/A,0.32
1,Next Qtr.,-3.40%,N/A,N/A,0.43
2,Current Year,0.70%,N/A,N/A,0.24
3,Next Year,11.30%,N/A,N/A,0.27
4,Next 5 Years (per annum),7.14%,N/A,N/A,0.11
5,Past 5 Years (per annum),7.20%,N/A,N/A,N/A
