,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,23.0,23.0,25.0,24.0
1,Avg. Estimate,1.21,1.87,6.25,6.91
2,Low Estimate,1.18,1.78,6.11,6.5
3,High Estimate,1.28,2.04,6.45,7.38
4,Year Ago EPS,1.39,1.9,5.92,6.25
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,16,16,22,21
1,Avg. Estimate,3.68B,4.13B,15.67B,16.21B
2,Low Estimate,3.58B,4.03B,15.38B,15.57B
3,High Estimate,3.82B,4.23B,15.98B,16.74B
4,Year Ago Sales,3.79B,4.13B,15.37B,15.67B
5,Sales Growth (year/est),-2.70%,0.00%,1.90%,3.50%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,1.39,1.88,1.45,1.1
1,EPS Actual,1.39,1.9,1.45,1.15
2,Difference,0,0.02,0,0.05
3,Surprise %,0.00%,1.10%,0.00%,4.50%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.21,1.87,6.25,6.91
1,7 Days Ago,1.21,1.87,6.25,6.91
2,30 Days Ago,1.21,1.87,6.26,6.93
3,60 Days Ago,1.21,1.86,6.26,6.93
4,90 Days Ago,1.43,1.96,6.47,7.21
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,1,1,N/A
1,Up Last 30 Days,N/A,1,2,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,1,N/A,1,1
,Growth Estimates,PPG,Industry,Sector,S&P 500
0,Current Qtr.,-12.90%,N/A,N/A,-0.02
1,Next Qtr.,-1.60%,N/A,N/A,0.05
2,Current Year,5.60%,N/A,N/A,0.05
3,Next Year,10.60%,N/A,N/A,0.11
4,Next 5 Years (per annum),8.76%,N/A,N/A,0.10
5,Past 5 Years (per annum),5.33%,N/A,N/A,N/A
