,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,13.0,12.0,11.0,12.0
1,Avg. Estimate,0.97,0.77,2.73,3.18
2,Low Estimate,0.87,0.66,2.59,2.95
3,High Estimate,1.1,0.86,2.81,3.4
4,Year Ago EPS,0.63,0.45,1.97,2.73
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,11,11,12,11
1,Avg. Estimate,2.92B,2.6B,10.57B,11.15B
2,Low Estimate,2.87B,2.52B,10.42B,10.89B
3,High Estimate,2.98B,2.69B,10.68B,11.44B
4,Year Ago Sales,2.61B,2.48B,9.47B,10.57B
5,Sales Growth (year/est),11.80%,4.70%,11.70%,5.50%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,0.61,0.44,0.32,0.6
1,EPS Actual,0.63,0.45,0.4,0.59
2,Difference,0.02,0.01,0.08,-0.01
3,Surprise %,3.30%,2.30%,25.00%,-1.70%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,0.97,0.77,2.73,3.18
1,7 Days Ago,0.97,0.77,2.73,3.18
2,30 Days Ago,0.99,0.77,2.75,3.19
3,60 Days Ago,1.0,0.77,2.74,3.18
4,90 Days Ago,1.01,0.72,2.73,3.18
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,1,N/A,N/A,N/A
,Growth Estimates,PWR,Industry,Sector,S&P 500
0,Current Qtr.,54.00%,N/A,N/A,0.48
1,Next Qtr.,71.10%,N/A,N/A,0.40
2,Current Year,38.60%,N/A,N/A,0.21
3,Next Year,16.50%,N/A,N/A,0.10
4,Next 5 Years (per annum),23.48%,N/A,N/A,0.11
5,Past 5 Years (per annum),4.68%,N/A,N/A,N/A
