,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,15.0,15.0,21.0,19.0
1,Avg. Estimate,1.7,1.69,6.77,7.38
2,Low Estimate,1.65,1.63,6.63,7.1
3,High Estimate,1.76,1.74,6.96,8.13
4,Year Ago EPS,1.5,1.52,5.85,6.77
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,11,11,17,15
1,Avg. Estimate,3.06B,3.07B,12.19B,12.9B
2,Low Estimate,2.99B,3.01B,11.9B,12.41B
3,High Estimate,3.22B,3.25B,12.53B,13.59B
4,Year Ago Sales,2.92B,2.95B,11.44B,12.19B
5,Sales Growth (year/est),4.70%,4.00%,6.60%,5.80%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,1.45,1.48,1.56,1.69
1,EPS Actual,1.5,1.52,1.65,1.72
2,Difference,0.05,0.04,0.09,0.03
3,Surprise %,3.40%,2.70%,5.80%,1.80%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,1.7,1.69,6.77,7.38
1,7 Days Ago,1.7,1.7,6.78,7.35
2,30 Days Ago,1.7,1.7,6.78,7.39
3,60 Days Ago,1.7,1.7,6.78,7.4
4,90 Days Ago,1.71,1.71,6.77,7.39
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,1,N/A,1,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,1,1
,Growth Estimates,PX,Industry,Sector,S&P 500
0,Current Qtr.,13.30%,N/A,N/A,0.48
1,Next Qtr.,11.20%,N/A,N/A,0.40
2,Current Year,15.70%,N/A,N/A,0.21
3,Next Year,9.00%,N/A,N/A,0.10
4,Next 5 Years (per annum),11.00%,N/A,N/A,0.11
5,Past 5 Years (per annum),-0.09%,N/A,N/A,N/A
