,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,24.0,24.0,25.0,25.0
1,Avg. Estimate,1.05,1.05,5.61,5.61
2,Low Estimate,1.03,0.92,5.58,5.01
3,High Estimate,1.08,1.28,5.66,6.17
4,Year Ago EPS,1.07,0.96,5.15,5.61
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,22,23,24,25
1,Avg. Estimate,670.54M,693.75M,3.08B,3.11B
2,Low Estimate,662.5M,666.89M,3.07B,2.99B
3,High Estimate,681.75M,750M,3.09B,3.4B
4,Year Ago Sales,665.38M,692.7M,2.97B,3.08B
5,Sales Growth (year/est),0.80%,0.20%,3.60%,1.10%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,1.05,0.76,1.62,1.69
1,EPS Actual,1.07,0.96,1.75,1.85
2,Difference,0.02,0.2,0.13,0.16
3,Surprise %,1.90%,26.30%,8.00%,9.50%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.05,1.05,5.61,5.61
1,7 Days Ago,1.05,1.05,5.61,5.62
2,30 Days Ago,1.05,1.05,5.61,5.64
3,60 Days Ago,1.06,1.06,5.61,5.64
4,90 Days Ago,1.35,1.31,5.73,6.3
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,1,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,QRVO,Industry,Sector,S&P 500
0,Current Qtr.,-1.90%,N/A,N/A,0.01
1,Next Qtr.,9.40%,N/A,N/A,0.05
2,Current Year,8.90%,N/A,N/A,0.05
3,Next Year,N/A,N/A,N/A,0.11
4,Next 5 Years (per annum),10.83%,N/A,N/A,0.10
5,Past 5 Years (per annum),7.02%,N/A,N/A,N/A
