,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2019),Next Year (2020)
0,No. of Analysts,20.0,20.0,22.0,22.0
1,Avg. Estimate,2.16,2.12,6.68,7.3
2,Low Estimate,2.07,2.06,6.5,6.7
3,High Estimate,2.22,2.22,6.91,8.02
4,Year Ago EPS,1.99,2.03,6.03,6.68
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2019),Next Year (2020)
0,No. of Analysts,18,17,20,20
1,Avg. Estimate,1.65B,1.63B,6.17B,6.3B
2,Low Estimate,1.62B,1.61B,6.13B,6.11B
3,High Estimate,1.67B,1.67B,6.23B,6.54B
4,Year Ago Sales,1.66B,1.64B,6.18B,6.17B
5,Sales Growth (year/est),-0.70%,-0.90%,-0.20%,2.10%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,1.89,1.87,0.83,1.36
1,EPS Actual,1.99,2.03,0.9,1.54
2,Difference,0.1,0.16,0.07,0.18
3,Surprise %,5.30%,8.60%,8.40%,13.20%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2019),Next Year (2020)
0,Current Estimate,2.16,2.12,6.68,7.3
1,7 Days Ago,2.15,2.11,6.67,7.29
2,30 Days Ago,2.15,2.11,6.66,7.28
3,60 Days Ago,2.15,2.11,6.67,7.27
4,90 Days Ago,2.14,2.11,6.6,7.21
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,1,N/A,1,1
1,Up Last 30 Days,4,3,4,4
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,1,N/A,1
,Growth Estimates,RL,Industry,Sector,S&P 500
0,Current Qtr.,8.50%,N/A,N/A,0.48
1,Next Qtr.,4.40%,N/A,N/A,0.40
2,Current Year,10.80%,N/A,N/A,0.21
3,Next Year,9.30%,N/A,N/A,0.10
4,Next 5 Years (per annum),10.45%,N/A,N/A,0.11
5,Past 5 Years (per annum),-9.46%,N/A,N/A,N/A
