,0,1
0,Market Cap (intraday) 5,22.7B
1,Enterprise Value 3,23.82B
2,Trailing P/E ,27.97
3,Forward P/E 1,19.56
4,PEG Ratio (5 yr expected) 1,2.42
5,Price/Sales (ttm),3.38
6,Price/Book (mrq),17.82
7,Enterprise Value/Revenue 3,3.54
8,Enterprise Value/EBITDA 6,16.29
,0,1
0,Fiscal Year Ends ,"Sep 30, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,12.68%
1,Operating Margin (ttm),19.53%
,0,1
0,Return on Assets (ttm),12.53%
1,Return on Equity (ttm),49.68%
,0,1
0,Revenue (ttm),6.72B
1,Revenue Per Share (ttm),54.46
2,Quarterly Revenue Growth (yoy),3.50%
3,Gross Profit (ttm),2.87B
4,EBITDA ,1.46B
5,Net Income Avi to Common (ttm),851.4M
6,Diluted EPS (ttm),6.79
7,Quarterly Earnings Growth (yoy),N/A
,0,1
0,Total Cash (mrq),753.5M
1,Total Cash Per Share (mrq),6.3
2,Total Debt (mrq),1.87B
3,Total Debt/Equity (mrq),146.49
4,Current Ratio (mrq),1.21
5,Book Value Per Share (mrq),10.66
,0,1
0,Operating Cash Flow (ttm),1.3B
1,Levered Free Cash Flow (ttm),932.44M
,0,1
0,Beta (3Y Monthly) ,1.50
1,52-Week Change 3,11.28%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,198.23
4,52 Week Low 3,141.46
5,50-Day Moving Average 3,179.82
6,200-Day Moving Average 3,169.64
,0,1
0,Avg Vol (3 month) 3,846.49k
1,Avg Vol (10 day) 3,782.9k
2,Shares Outstanding 5,119.54M
3,Float ,118.72M
4,% Held by Insiders 1,0.65%
5,% Held by Institutions 1,78.03%
6,"Shares Short (Mar 29, 2019) 4",3.28M
7,"Short Ratio (Mar 29, 2019) 4",4.6
8,"Short % of Float (Mar 29, 2019) 4",2.73%
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",2.74%
10,"Shares Short (prior month Feb 28, 2019) 4",3.08M
,0,1
0,Forward Annual Dividend Rate 4,3.88
1,Forward Annual Dividend Yield 4,2.21%
2,Trailing Annual Dividend Rate 3,3.64
3,Trailing Annual Dividend Yield 3,1.94%
4,5 Year Average Dividend Yield 4,2.09
5,Payout Ratio 4,54.32%
6,Dividend Date 3,"Jun 10, 2019"
7,Ex-Dividend Date 4,"May 10, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Apr 14, 1987"
