,0,1
0,Market Cap (intraday) 5,51.14B
1,Enterprise Value 3,53.36B
2,Trailing P/E ,17.98
3,Forward P/E 1,13.87
4,PEG Ratio (5 yr expected) 1,1.19
5,Price/Sales (ttm),1.89
6,Price/Book (mrq),4.49
7,Enterprise Value/Revenue 3,1.97
8,Enterprise Value/EBITDA 6,14.04
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,10.75%
1,Operating Margin (ttm),12.23%
,0,1
0,Return on Assets (ttm),6.59%
1,Return on Equity (ttm),25.79%
,0,1
0,Revenue (ttm),27.06B
1,Revenue Per Share (ttm),94.44
2,Quarterly Revenue Growth (yoy),8.50%
3,Gross Profit (ttm),7.49B
4,EBITDA ,3.8B
5,Net Income Avi to Common (ttm),2.91B
6,Diluted EPS (ttm),10.15
7,Quarterly Earnings Growth (yoy),111.70%
,0,1
0,Total Cash (mrq),3.61B
1,Total Cash Per Share (mrq),12.78
2,Total Debt (mrq),5.06B
3,Total Debt/Equity (mrq),42.54
4,Current Ratio (mrq),1.46
5,Book Value Per Share (mrq),40.67
,0,1
0,Operating Cash Flow (ttm),3.43B
1,Levered Free Cash Flow (ttm),2.2B
,0,1
0,Beta (3Y Monthly) ,1.29
1,52-Week Change 3,-20.80%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,229.75
4,52 Week Low 3,144.27
5,50-Day Moving Average 3,181.04
6,200-Day Moving Average 3,176.49
,0,1
0,Avg Vol (3 month) 3,1.94M
1,Avg Vol (10 day) 3,1.35M
2,Shares Outstanding 5,280.22M
3,Float ,281.63M
4,% Held by Insiders 1,0.18%
5,% Held by Institutions 1,76.92%
6,"Shares Short (Mar 29, 2019) 4",3.75M
7,"Short Ratio (Mar 29, 2019) 4",2.14
8,"Short % of Float (Mar 29, 2019) 4",1.31%
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",1.33%
10,"Shares Short (prior month Feb 28, 2019) 4",4.17M
,0,1
0,Forward Annual Dividend Rate 4,3.77
1,Forward Annual Dividend Yield 4,2.07%
2,Trailing Annual Dividend Rate 3,3.47
3,Trailing Annual Dividend Yield 3,1.92%
4,5 Year Average Dividend Yield 4,2.03
5,Payout Ratio 4,34.19%
6,Dividend Date 3,"May 9, 2019"
7,Ex-Dividend Date 4,"Apr 9, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Oct 24, 1995"
