,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"1,865,695","1,727,674","1,633,125","1,638,474"
2,Cost of Revenue,"479,756","458,679","434,037","456,263"
3,Gross Profit,"1,385,939","1,268,995","1,199,088","1,182,211"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"141,724","129,908","125,206","113,185"
7,Non Recurring,-,-,-,-
8,Others,"2,791","5,236","8,620","7,144"
9,Total Operating Expenses,"1,296,384","1,236,923","1,206,052","1,236,613"
10,Operating Income or Loss,"569,311","490,751","427,073","401,861"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-532,070","-373,860","-339,770","-568,456"
13,Earnings Before Interest and Taxes,"569,311","490,751","427,073","401,861"
14,Interest Expense,"-399,146","-348,568","-352,510","-343,025"
15,Income Before Tax,"51,684","116,891","87,303","-166,595"
16,Income Tax Expense,"4,233","13,237","11,065","9,061"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"47,451","103,654","76,238","-175,656"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"47,451","103,654","76,238","-175,656"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"47,451","103,654","76,238","-175,656"
