,0,1
0,Market Cap (intraday) 5,78.61B
1,Enterprise Value 3,84.17B
2,Trailing P/E ,18.19
3,Forward P/E 1,22.07
4,PEG Ratio (5 yr expected) 1,1.67
5,Price/Sales (ttm),3.26
6,Price/Book (mrq),19.95
7,Enterprise Value/Revenue 3,3.49
8,Enterprise Value/EBITDA 6,16.63
,0,1
0,Fiscal Year Ends ,"Oct 1, 2017"
1,Most Recent Quarter (mrq),"Jul 1, 2018"
,0,1
0,Profit Margin ,18.87%
1,Operating Margin (ttm),15.88%
,0,1
0,Return on Assets (ttm),15.10%
1,Return on Equity (ttm),92.45%
,0,1
0,Revenue (ttm),24.11B
1,Revenue Per Share (ttm),17.12
2,Quarterly Revenue Growth (yoy),11.50%
3,Gross Profit (ttm),6.86B
4,EBITDA ,5.06B
5,Net Income Avi to Common (ttm),4.55B
6,Diluted EPS (ttm),3.20
7,Quarterly Earnings Growth (yoy),23.30%
,0,1
0,Total Cash (mrq),1.98B
1,Total Cash Per Share (mrq),1.47
2,Total Debt (mrq),6.8B
3,Total Debt/Equity (mrq),170.11
4,Current Ratio (mrq),1.01
5,Book Value Per Share (mrq),2.92
,0,1
0,Operating Cash Flow (ttm),4.52B
1,Levered Free Cash Flow (ttm),1.63B
,0,1
0,Beta (3Y Monthly) ,0.63
1,52-Week Change 3,6.28%
2,S&P500 52-Week Change 3,4.00%
3,52 Week High 3,61.94
4,52 Week Low 3,47.37
5,50-Day Moving Average 3,56.79
6,200-Day Moving Average 3,54.94
,0,1
0,Avg Vol (3 month) 3,10.14M
1,Avg Vol (10 day) 3,12.18M
2,Shares Outstanding 5,1.35B
3,Float ,1.31B
4,% Held by Insiders 1,2.96%
5,% Held by Institutions 1,74.72%
6,"Shares Short (Oct 15, 2018) 4",87.3M
7,"Short Ratio (Oct 15, 2018) 4",7.5
8,"Short % of Float (Oct 15, 2018) 4",6.36%
9,"Short % of Shares Outstanding (Oct 15, 2018) 4",6.47%
10,"Shares Short (prior month Sep 14, 2018) 4",26.69M
,0,1
0,Forward Annual Dividend Rate 4,1.44
1,Forward Annual Dividend Yield 4,2.47%
2,Trailing Annual Dividend Rate 3,1.26
3,Trailing Annual Dividend Yield 3,2.15%
4,5 Year Average Dividend Yield 4,1.47
5,Payout Ratio 4,35.83%
6,Dividend Date 3,"Aug 24, 2018"
7,Ex-Dividend Date 4,"Aug 8, 2018"
8,Last Split Factor (new per old) 2,2/1
9,Last Split Date 3,"Apr 9, 2015"
