,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,25.0,25.0,30.0,30.0
1,Avg. Estimate,0.56,0.71,2.71,3.03
2,Low Estimate,0.52,0.67,2.38,2.82
3,High Estimate,0.58,0.75,2.84,3.11
4,Year Ago EPS,0.53,0.62,2.42,2.71
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,21,21,27,27
1,Avg. Estimate,6.31B,6.69B,26.29B,28.35B
2,Low Estimate,6.21B,6.59B,26.02B,27.99B
3,High Estimate,6.51B,6.93B,26.77B,29.29B
4,Year Ago Sales,6.03B,6.31B,24.72B,26.29B
5,Sales Growth (year/est),4.70%,6.00%,6.40%,7.80%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.53,0.61,0.6,0.65
1,EPS Actual,0.53,0.62,0.62,0.75
2,Difference,0,0.01,0.02,0.1
3,Surprise %,0.00%,1.60%,3.30%,15.40%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.56,0.71,2.71,3.03
1,7 Days Ago,0.56,0.71,2.7,3.04
2,30 Days Ago,0.56,0.71,2.7,3.03
3,60 Days Ago,0.56,0.71,2.7,3.03
4,90 Days Ago,0.57,0.72,2.65,3.01
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,1,2
1,Up Last 30 Days,1,2,3,3
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,1,1,N/A,N/A
,Growth Estimates,SBUX,Industry,Sector,S&P 500
0,Current Qtr.,5.70%,N/A,N/A,-0.02
1,Next Qtr.,14.50%,N/A,N/A,0.04
2,Current Year,12.00%,N/A,N/A,0.05
3,Next Year,11.80%,N/A,N/A,0.11
4,Next 5 Years (per annum),12.25%,N/A,N/A,0.10
5,Past 5 Years (per annum),15.66%,N/A,N/A,N/A
