,0,1
0,Market Cap (intraday) 5,56.33B
1,Enterprise Value 3,70.12B
2,Trailing P/E ,11.49
3,Forward P/E 1,11.38
4,PEG Ratio (5 yr expected) 1,2.14
5,Price/Sales (ttm),3.63
6,Price/Book (mrq),1.51
7,Enterprise Value/Revenue 3,4.52
8,Enterprise Value/EBITDA 6,10.62
,0,1
0,Fiscal Year Ends ,"Dec 31, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,31.06%
1,Operating Margin (ttm),26.80%
,0,1
0,Return on Assets (ttm),3.90%
1,Return on Equity (ttm),14.18%
,0,1
0,Revenue (ttm),15.53B
1,Revenue Per Share (ttm),51.23
2,Quarterly Revenue Growth (yoy),4.60%
3,Gross Profit (ttm),11.21B
4,EBITDA ,6.6B
5,Net Income Avi to Common (ttm),4.82B
6,Diluted EPS (ttm),15.82
7,Quarterly Earnings Growth (yoy),156.10%
,0,1
0,Total Cash (mrq),259.7M
1,Total Cash Per Share (mrq),0.87
2,Total Debt (mrq),17.91B
3,Total Debt/Equity (mrq),48.73
4,Current Ratio (mrq),1.55
5,Book Value Per Share (mrq),120.75
,0,1
0,Operating Cash Flow (ttm),4.52B
1,Levered Free Cash Flow (ttm),2.34B
,0,1
0,Beta (3Y Monthly) ,1.19
1,52-Week Change 3,21.55%
2,S&P500 52-Week Change 3,4.00%
3,52 Week High 3,182.36
4,52 Week Low 3,123.73
5,50-Day Moving Average 3,175.46
6,200-Day Moving Average 3,169.22
,0,1
0,Avg Vol (3 month) 3,847.16k
1,Avg Vol (10 day) 3,1.17M
2,Shares Outstanding 5,913.3M
3,Float ,278.54M
4,% Held by Insiders 1,0.07%
5,% Held by Institutions 1,20.36%
6,"Shares Short (Oct 15, 2018) 4",1.97M
7,"Short Ratio (Oct 15, 2018) 4",2.33
8,"Short % of Float (Oct 15, 2018) 4",N/A
9,"Short % of Shares Outstanding (Oct 15, 2018) 4",0.65%
10,"Shares Short (prior month Sep 14, 2018) 4",1.35M
,0,1
0,Forward Annual Dividend Rate 4,1.06
1,Forward Annual Dividend Yield 4,0.61%
2,Trailing Annual Dividend Rate 3,0.35
3,Trailing Annual Dividend Yield 3,0.20%
4,5 Year Average Dividend Yield 4,0.43
5,Payout Ratio 4,6.61%
6,Dividend Date 3,"Oct 19, 2018"
7,Ex-Dividend Date 4,"Sep 6, 2018"
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
