,0,1
0,Market Cap (intraday) 5,13.83B
1,Enterprise Value 3,19.75B
2,Trailing P/E ,22.01
3,Forward P/E 1,14.59
4,PEG Ratio (5 yr expected) 1,4.61
5,Price/Sales (ttm),1.79
6,Price/Book (mrq),1.72
7,Enterprise Value/Revenue 3,2.56
8,Enterprise Value/EBITDA 6,11.97
,0,1
0,Fiscal Year Ends ,"Apr 30, 2018"
1,Most Recent Quarter (mrq),"Jan 31, 2019"
,0,1
0,Profit Margin ,8.15%
1,Operating Margin (ttm),15.74%
,0,1
0,Return on Assets (ttm),4.70%
1,Return on Equity (ttm),7.95%
,0,1
0,Revenue (ttm),7.72B
1,Revenue Per Share (ttm),67.84
2,Quarterly Revenue Growth (yoy),5.70%
3,Gross Profit (ttm),2.84B
4,EBITDA ,1.65B
5,Net Income Avi to Common (ttm),628.8M
6,Diluted EPS (ttm),5.52
7,Quarterly Earnings Growth (yoy),-85.40%
,0,1
0,Total Cash (mrq),206.5M
1,Total Cash Per Share (mrq),1.82
2,Total Debt (mrq),6.13B
3,Total Debt/Equity (mrq),76.38
4,Current Ratio (mrq),0.95
5,Book Value Per Share (mrq),70.49
,0,1
0,Operating Cash Flow (ttm),1.18B
1,Levered Free Cash Flow (ttm),782.76M
,0,1
0,Beta (3Y Monthly) ,0.74
1,52-Week Change 3,13.20%
2,S&P500 52-Week Change 3,1.53%
3,52 Week High 3,128.43
4,52 Week Low 3,91.32
5,50-Day Moving Average 3,123.86
6,200-Day Moving Average 3,109.59
,0,1
0,Avg Vol (3 month) 3,962.26k
1,Avg Vol (10 day) 3,749.6k
2,Shares Outstanding 5,113.75M
3,Float ,109.26M
4,% Held by Insiders 1,4.53%
5,% Held by Institutions 1,80.53%
6,"Shares Short (May 15, 2019) 4",5.74M
7,"Short Ratio (May 15, 2019) 4",9.32
8,"Short % of Float (May 15, 2019) 4",5.91%
9,"Short % of Shares Outstanding (May 15, 2019) 4",5.05%
10,"Shares Short (prior month Apr 15, 2019) 4",6.28M
,0,1
0,Forward Annual Dividend Rate 4,3.4
1,Forward Annual Dividend Yield 4,2.77%
2,Trailing Annual Dividend Rate 3,3.33
3,Trailing Annual Dividend Yield 3,2.75%
4,5 Year Average Dividend Yield 4,2.43
5,Payout Ratio 4,59.06%
6,Dividend Date 3,"Jun 3, 2019"
7,Ex-Dividend Date 4,"May 16, 2019"
8,Last Split Factor (new per old) 2,1/0
9,Last Split Date 3,"Jun 3, 2002"
