,0,1
0,Market Cap (intraday) 5,63.99B
1,Enterprise Value 3,77.71B
2,Trailing P/E ,30.18
3,Forward P/E 1,20.43
4,PEG Ratio (5 yr expected) 1,1.32
5,Price/Sales (ttm),1.95
6,Price/Book (mrq),1.77
7,Enterprise Value/Revenue 3,2.37
8,Enterprise Value/EBITDA 6,11.52
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,6.52%
1,Operating Margin (ttm),9.72%
,0,1
0,Return on Assets (ttm),2.80%
1,Return on Equity (ttm),5.90%
,0,1
0,Revenue (ttm),32.81B
1,Revenue Per Share (ttm),23.69
2,Quarterly Revenue Growth (yoy),0.00%
3,Gross Profit (ttm),4.34B
4,EBITDA ,6.75B
5,Net Income Avi to Common (ttm),2.14B
6,Diluted EPS (ttm),1.53
7,Quarterly Earnings Growth (yoy),N/A
,0,1
0,Total Cash (mrq),2.78B
1,Total Cash Per Share (mrq),2.01
2,Total Debt (mrq),17.83B
3,Total Debt/Equity (mrq),48.73
4,Current Ratio (mrq),1.17
5,Book Value Per Share (mrq),26.15
,0,1
0,Operating Cash Flow (ttm),5.71B
1,Levered Free Cash Flow (ttm),2.32B
,0,1
0,Beta (3Y Monthly) ,1.69
1,52-Week Change 3,-29.97%
2,S&P500 52-Week Change 3,10.70%
3,52 Week High 3,75.43
4,52 Week Low 3,34.99
5,50-Day Moving Average 3,43.78
6,200-Day Moving Average 3,47.03
,0,1
0,Avg Vol (3 month) 3,10.14M
1,Avg Vol (10 day) 3,7.94M
2,Shares Outstanding 5,1.39B
3,Float ,1.38B
4,% Held by Insiders 1,0.13%
5,% Held by Institutions 1,80.19%
6,"Shares Short (Mar 15, 2019) 4",20.09M
7,"Short Ratio (Mar 15, 2019) 4",2.33
8,"Short % of Float (Mar 15, 2019) 4",1.45%
9,"Short % of Shares Outstanding (Mar 15, 2019) 4",1.45%
10,"Shares Short (prior month Feb 15, 2019) 4",20.15M
,0,1
0,Forward Annual Dividend Rate 4,2
1,Forward Annual Dividend Yield 4,4.50%
2,Trailing Annual Dividend Rate 3,2.00
3,Trailing Annual Dividend Yield 3,4.44%
4,5 Year Average Dividend Yield 4,2.67
5,Payout Ratio 4,130.72%
6,Dividend Date 3,"Apr 12, 2019"
7,Ex-Dividend Date 4,"Feb 12, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Apr 10, 2006"
