,0,1
0,Market Cap (intraday) 5,8.22B
1,Enterprise Value 3,14.74B
2,Trailing P/E ,30.74
3,Forward P/E 1,57.74
4,PEG Ratio (5 yr expected) 1,-2.71
5,Price/Sales (ttm),6.05
6,Price/Book (mrq),1.29
7,Enterprise Value/Revenue 3,10.85
8,Enterprise Value/EBITDA 6,19.78
,0,1
0,Fiscal Year Ends ,"Dec 31, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,21.98%
1,Operating Margin (ttm),32.74%
,0,1
0,Return on Assets (ttm),1.92%
1,Return on Equity (ttm),4.14%
,0,1
0,Revenue (ttm),1.36B
1,Revenue Per Share (ttm),14.63
2,Quarterly Revenue Growth (yoy),-24.00%
3,Gross Profit (ttm),962.45M
4,EBITDA ,745.36M
5,Net Income Avi to Common (ttm),272.17M
6,Diluted EPS (ttm),2.93
7,Quarterly Earnings Growth (yoy),643.70%
,0,1
0,Total Cash (mrq),313.37M
1,Total Cash Per Share (mrq),3.62
2,Total Debt (mrq),5.9B
3,Total Debt/Equity (mrq),83.93
4,Current Ratio (mrq),2.91
5,Book Value Per Share (mrq),69.63
,0,1
0,Operating Cash Flow (ttm),483.74M
1,Levered Free Cash Flow (ttm),360.84M
,0,1
0,Beta (3Y Monthly) ,1.46
1,52-Week Change 3,-11.88%
2,S&P500 52-Week Change 3,6.68%
3,52 Week High 3,106.54
4,52 Week Low 3,89.46
5,50-Day Moving Average 3,98.87
6,200-Day Moving Average 3,99.34
,0,1
0,Avg Vol (3 month) 3,626.58k
1,Avg Vol (10 day) 3,706.96k
2,Shares Outstanding 5,86.57M
3,Float ,86.31M
4,% Held by Insiders 1,0.37%
5,% Held by Institutions 1,106.40%
6,"Shares Short (Sep 28, 2018) 4",3.07M
7,"Short Ratio (Sep 28, 2018) 4",4.27
8,"Short % of Float (Sep 28, 2018) 4",4.86%
9,"Short % of Shares Outstanding (Sep 28, 2018) 4",3.55%
10,"Shares Short (prior month Aug 31, 2018) 4",3.36M
,0,1
0,Forward Annual Dividend Rate 4,3.25
1,Forward Annual Dividend Yield 4,3.59%
2,Trailing Annual Dividend Rate 3,3.21
3,Trailing Annual Dividend Yield 3,3.54%
4,5 Year Average Dividend Yield 4,2.40
5,Payout Ratio 4,107.56%
6,Dividend Date 3,"Oct 15, 2018"
7,Ex-Dividend Date 4,"Sep 27, 2018"
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
