,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,24.0,24.0,25.0,22.0
1,Avg. Estimate,-0.12,-0.09,-0.3,-0.11
2,Low Estimate,-0.14,-0.15,-0.5,-0.33
3,High Estimate,-0.09,-0.06,-0.2,0.05
4,Year Ago EPS,-0.17,-0.14,-0.47,-0.3
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,31,31,36,31
1,Avg. Estimate,306.24M,347.87M,1.54B,2.01B
2,Low Estimate,286.65M,299.14M,1.38B,1.7B
3,High Estimate,320M,376.3M,1.68B,2.32B
4,Year Ago Sales,230.67M,262.26M,1.18B,1.54B
5,Sales Growth (year/est),32.80%,32.60%,30.80%,30.20%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,-0.17,-0.17,-0.14,-0.07
1,EPS Actual,-0.17,-0.14,-0.12,-0.04
2,Difference,0,0.03,0.02,0.03
3,Surprise %,0.00%,17.60%,14.30%,42.90%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,-0.12,-0.09,-0.3,-0.11
1,7 Days Ago,-0.12,-0.09,-0.3,-0.11
2,30 Days Ago,-0.12,-0.1,-0.3,-0.12
3,60 Days Ago,-0.13,-0.11,-0.36,-0.21
4,90 Days Ago,-0.13,-0.11,-0.37,-0.2
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,1,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,SNAP,Industry,Sector,S&P 500
0,Current Qtr.,29.40%,N/A,N/A,-0.02
1,Next Qtr.,35.70%,N/A,N/A,0.05
2,Current Year,36.20%,N/A,N/A,0.05
3,Next Year,63.30%,N/A,N/A,0.11
4,Next 5 Years (per annum),41.80%,N/A,N/A,0.10
5,Past 5 Years (per annum),N/A,N/A,N/A,N/A
