,0,1,2,3,4
0,Period Ending,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Net Income,"2,056,000","3,014,000","3,439,000","3,692,000"
2,"Operating Activities, Cash Flows Provided By or Used In",,,,
3,Depreciation,"813,000","826,000","818,000","864,000"
4,Adjustments To Net Income,"-276,000","-190,000","-104,000","-444,000"
5,Changes In Accounts Receivables,"-394,000","-286,000","-185,000","-207,000"
6,Changes In Liabilities,"521,000","372,000","248,000","73,000"
7,Changes In Inventories,-,-,-,-
8,Changes In Other Operating Activities,"-3,124,000","-3,519,000","-4,667,000","-4,167,000"
9,Total Cash Flow From Operating Activities,"3,762,000","4,202,000","3,434,000","3,693,000"
10,"Investing Activities, Cash Flows Provided By or Used In",,,,
11,Capital Expenditures,-,-,-,-
12,Investments,"-1,050,000","-1,116,000","839,000","527,000"
13,Other Cash flows from Investing Activities,"-291,000","-365,000","-417,000","-276,000"
14,Total Cash Flows From Investing Activities,"-1,816,000","-1,460,000","317,000","206,000"
15,"Financing Activities, Cash Flows Provided By or Used In",,,,
16,Dividends Paid,"-785,000","-757,000","-739,000","-729,000"
17,Sale Purchase of Stock,-,-,-,-
18,Net Borrowings,"132,000","91,000","-8,000","-8,000"
19,Other Cash Flows from Financing Activities,-,-,"55,000","57,000"
20,Total Cash Flows From Financing Activities,"-1,920,000","-2,806,000","-3,733,000","-3,809,000"
21,Effect Of Exchange Rate Changes,"11,000","-9,000","-12,000","-10,000"
22,Change In Cash and Cash Equivalents,"37,000","-73,000","6,000","80,000"
