,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"11,598,500","11,286,800","11,046,500","10,731,300"
2,Cost of Revenue,"9,026,300","8,015,600","7,869,100","7,691,700"
3,Gross Profit,"2,572,200","3,271,200","3,177,400","3,039,600"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"885,900","852,300","839,100","835,100"
7,Non Recurring,-,-,-,-
8,Others,"891,200","855,000","824,600","813,400"
9,Total Operating Expenses,"10,803,400","9,722,900","9,532,800","9,340,200"
10,Operating Income or Loss,"795,100","1,563,900","1,513,700","1,391,100"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-167,300","-159,900","-166,000","-152,800"
13,Earnings Before Interest and Taxes,"795,100","1,563,900","1,513,700","1,391,100"
14,Interest Expense,"-167,300","-159,900","-166,000","-152,800"
15,Income Before Tax,"627,800","1,404,000","1,347,700","1,238,300"
16,Income Tax Expense,"104,400","409,800","416,300","371,200"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"523,400","994,200","931,400","867,100"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"523,400","994,200","931,400","867,100"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"523,400","994,200","931,400","867,100"
