,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"6,641,000","5,762,000","5,817,000","5,685,000"
2,Cost of Revenue,"3,790,000","3,324,000","3,308,000","3,218,000"
3,Gross Profit,"2,851,000","2,438,000","2,509,000","2,467,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"903,000","719,000","714,000","758,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"4,952,000","4,298,000","4,290,000","4,249,000"
10,Operating Income or Loss,"1,689,000","1,464,000","1,527,000","1,436,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-641,000","-555,000","-564,000","-586,000"
13,Earnings Before Interest and Taxes,"1,689,000","1,464,000","1,527,000","1,436,000"
14,Interest Expense,"-412,000","-412,000","-446,000","-477,000"
15,Income Before Tax,"1,048,000","909,000","963,000","850,000"
16,Income Tax Expense,"-298,000","343,000","378,000","310,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,346,000","566,000","585,000","540,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,346,000","566,000","585,000","540,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,346,000","566,000","585,000","540,000"
