,0,1
0,Market Cap (intraday) 5,36.77B
1,Enterprise Value 3,43.96B
2,Trailing P/E ,12.07
3,Forward P/E 1,7.84
4,PEG Ratio (5 yr expected) 1,0.49
5,Price/Sales (ttm),0.33
6,Price/Book (mrq),1.70
7,Enterprise Value/Revenue 3,0.40
8,Enterprise Value/EBITDA 6,6.60
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,2.80%
1,Operating Margin (ttm),4.12%
,0,1
0,Return on Assets (ttm),5.72%
1,Return on Equity (ttm),14.70%
,0,1
0,Revenue (ttm),111.41B
1,Revenue Per Share (ttm),261.52
2,Quarterly Revenue Growth (yoy),9.80%
3,Gross Profit (ttm),7.61B
4,EBITDA ,6.66B
5,Net Income Avi to Common (ttm),3.11B
6,Diluted EPS (ttm),7.29
7,Quarterly Earnings Growth (yoy),-59.80%
,0,1
0,Total Cash (mrq),2.98B
1,Total Cash Per Share (mrq),7.14
2,Total Debt (mrq),9.11B
3,Total Debt/Equity (mrq),40.07
4,Current Ratio (mrq),1.65
5,Book Value Per Share (mrq),51.88
,0,1
0,Operating Cash Flow (ttm),4.37B
1,Levered Free Cash Flow (ttm),753.88M
,0,1
0,Beta (3Y Monthly) ,1.26
1,52-Week Change 3,-18.16%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,126.98
4,52 Week Low 3,68.81
5,50-Day Moving Average 3,85.37
6,200-Day Moving Average 3,84.73
,0,1
0,Avg Vol (3 month) 3,3.65M
1,Avg Vol (10 day) 3,3.04M
2,Shares Outstanding 5,417.61M
3,Float ,416.22M
4,% Held by Insiders 1,0.34%
5,% Held by Institutions 1,81.53%
6,"Shares Short (Mar 29, 2019) 4",7.31M
7,"Short Ratio (Mar 29, 2019) 4",2.04
8,"Short % of Float (Mar 29, 2019) 4",1.76%
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",1.75%
10,"Shares Short (prior month Feb 28, 2019) 4",6.84M
,0,1
0,Forward Annual Dividend Rate 4,3.6
1,Forward Annual Dividend Yield 4,4.24%
2,Trailing Annual Dividend Rate 3,3.20
3,Trailing Annual Dividend Yield 3,3.58%
4,5 Year Average Dividend Yield 4,3.00
5,Payout Ratio 4,43.90%
6,Dividend Date 3,"Mar 5, 2019"
7,Ex-Dividend Date 4,"Feb 12, 2019"
8,Last Split Factor (new per old) 2,1000/1094
9,Last Split Date 3,"May 2, 2013"
