,0,1
0,Market Cap (intraday) 5,14.22B
1,Enterprise Value 3,25.75B
2,Trailing P/E ,34.70
3,Forward P/E 1,44.21
4,PEG Ratio (5 yr expected) 1,2.66
5,Price/Sales (ttm),6.54
6,Price/Book (mrq),3.72
7,Enterprise Value/Revenue 3,11.84
8,Enterprise Value/EBITDA 6,25.56
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,20.69%
1,Operating Margin (ttm),27.84%
,0,1
0,Return on Assets (ttm),2.19%
1,Return on Equity (ttm),7.10%
,0,1
0,Revenue (ttm),2.17B
1,Revenue Per Share (ttm),11.43
2,Quarterly Revenue Growth (yoy),2.20%
3,Gross Profit (ttm),1.19B
4,EBITDA ,1.01B
5,Net Income Avi to Common (ttm),384.15M
6,Diluted EPS (ttm),2.01
7,Quarterly Earnings Growth (yoy),155.00%
,0,1
0,Total Cash (mrq),597.95M
1,Total Cash Per Share (mrq),3.14
2,Total Debt (mrq),9.9B
3,Total Debt/Equity (mrq),168.08
4,Current Ratio (mrq),4.27
5,Book Value Per Share (mrq),18.76
,0,1
0,Operating Cash Flow (ttm),802.64M
1,Levered Free Cash Flow (ttm),416.07M
,0,1
0,Beta (3Y Monthly) ,1.13
1,52-Week Change 3,1.88%
2,S&P500 52-Week Change 3,10.50%
3,52 Week High 3,77.59
4,52 Week Low 3,59.48
5,50-Day Moving Average 3,67.96
6,200-Day Moving Average 3,67.72
,0,1
0,Avg Vol (3 month) 3,993.38k
1,Avg Vol (10 day) 3,1.16M
2,Shares Outstanding 5,190.74M
3,Float ,176.21M
4,% Held by Insiders 1,9.50%
5,% Held by Institutions 1,90.14%
6,"Shares Short (Apr 15, 2019) 4",2.27M
7,"Short Ratio (Apr 15, 2019) 4",2.53
8,"Short % of Float (Apr 15, 2019) 4",1.55%
9,"Short % of Shares Outstanding (Apr 15, 2019) 4",1.19%
10,"Shares Short (prior month Mar 15, 2019) 4",2.14M
,0,1
0,Forward Annual Dividend Rate 4,2.64
1,Forward Annual Dividend Yield 4,3.91%
2,Trailing Annual Dividend Rate 3,2.52
3,Trailing Annual Dividend Yield 3,3.64%
4,5 Year Average Dividend Yield 4,2.98
5,Payout Ratio 4,125.37%
6,Dividend Date 3,"May 17, 2019"
7,Ex-Dividend Date 4,"May 3, 2019"
8,Last Split Factor (new per old) 2,1000/1237
9,Last Split Date 3,"Jul 18, 2017"
