,0,1
0,Market Cap (intraday) 5,18.75B
1,Enterprise Value 3,21.66B
2,Trailing P/E ,31.35
3,Forward P/E 1,25.19
4,PEG Ratio (5 yr expected) 1,2.26
5,Price/Sales (ttm),8.15
6,Price/Book (mrq),9.04
7,Enterprise Value/Revenue 3,9.41
8,Enterprise Value/EBITDA 6,20.72
,0,1
0,Fiscal Year Ends ,"Dec 31, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,26.58%
1,Operating Margin (ttm),36.08%
,0,1
0,Return on Assets (ttm),9.49%
1,Return on Equity (ttm),34.57%
,0,1
0,Revenue (ttm),2.3B
1,Revenue Per Share (ttm),13.96
2,Quarterly Revenue Growth (yoy),14.90%
3,Gross Profit (ttm),1.36B
4,EBITDA ,1.05B
5,Net Income Avi to Common (ttm),611.8M
6,Diluted EPS (ttm),3.63
7,Quarterly Earnings Growth (yoy),26.90%
,0,1
0,Total Cash (mrq),135.8M
1,Total Cash Per Share (mrq),0.82
2,Total Debt (mrq),2.78B
3,Total Debt/Equity (mrq),134.12
4,Current Ratio (mrq),0.43
5,Book Value Per Share (mrq),12.59
,0,1
0,Operating Cash Flow (ttm),847.9M
1,Levered Free Cash Flow (ttm),518.86M
,0,1
0,Beta (3Y Monthly) ,0.51
1,52-Week Change 3,35.67%
2,S&P500 52-Week Change 3,5.16%
3,52 Week High 3,122.80
4,52 Week Low 3,84.40
5,50-Day Moving Average 3,118.54
6,200-Day Moving Average 3,112.47
,0,1
0,Avg Vol (3 month) 3,740.18k
1,Avg Vol (10 day) 3,737.33k
2,Shares Outstanding 5,164.71M
3,Float ,162.88M
4,% Held by Insiders 1,5.81%
5,% Held by Institutions 1,94.06%
6,"Shares Short (Oct 15, 2018) 4",3.87M
7,"Short Ratio (Oct 15, 2018) 4",4.59
8,"Short % of Float (Oct 15, 2018) 4",2.37%
9,"Short % of Shares Outstanding (Oct 15, 2018) 4",2.35%
10,"Shares Short (prior month Sep 14, 2018) 4",3.19M
,0,1
0,Forward Annual Dividend Rate 4,N/A
1,Forward Annual Dividend Yield 4,N/A
2,Trailing Annual Dividend Rate 3,N/A
3,Trailing Annual Dividend Yield 3,N/A
4,5 Year Average Dividend Yield 4,N/A
5,Payout Ratio 4,0.00%
6,Dividend Date 3,N/A
7,Ex-Dividend Date 4,N/A
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
