,0,1
0,Market Cap (intraday) 5,58.71B
1,Enterprise Value 3,73.87B
2,Trailing P/E ,11.45
3,Forward P/E 1,8.94
4,PEG Ratio (5 yr expected) 1,1.01
5,Price/Sales (ttm),0.44
6,Price/Book (mrq),2.29
7,Enterprise Value/Revenue 3,0.55
8,Enterprise Value/EBITDA 6,9.38
,0,1
0,Fiscal Year Ends ,"Aug 31, 2018"
1,Most Recent Quarter (mrq),"Nov 30, 2018"
,0,1
0,Profit Margin ,3.96%
1,Operating Margin (ttm),4.67%
,0,1
0,Return on Assets (ttm),5.75%
1,Return on Equity (ttm),20.03%
,0,1
0,Revenue (ttm),134.59B
1,Revenue Per Share (ttm),137.82
2,Quarterly Revenue Growth (yoy),9.90%
3,Gross Profit (ttm),30.79B
4,EBITDA ,7.88B
5,Net Income Avi to Common (ttm),5.33B
6,Diluted EPS (ttm),5.44
7,Quarterly Earnings Growth (yoy),36.80%
,0,1
0,Total Cash (mrq),980M
1,Total Cash Per Share (mrq),1.04
2,Total Debt (mrq),15.99B
3,Total Debt/Equity (mrq),60.89
4,Current Ratio (mrq),0.80
5,Book Value Per Share (mrq),27.14
,0,1
0,Operating Cash Flow (ttm),7.72B
1,Levered Free Cash Flow (ttm),4.33B
,0,1
0,Beta (3Y Monthly) ,0.82
1,52-Week Change 3,-8.39%
2,S&P500 52-Week Change 3,8.19%
3,52 Week High 3,86.31
4,52 Week Low 3,59.07
5,50-Day Moving Average 3,66.84
6,200-Day Moving Average 3,73.14
,0,1
0,Avg Vol (3 month) 3,5.85M
1,Avg Vol (10 day) 3,5.02M
2,Shares Outstanding 5,943.44M
3,Float ,794.07M
4,% Held by Insiders 1,15.66%
5,% Held by Institutions 1,64.41%
6,"Shares Short (Feb 28, 2019) 4",23.76M
7,"Short Ratio (Feb 28, 2019) 4",4.82
8,"Short % of Float (Feb 28, 2019) 4",2.98%
9,"Short % of Shares Outstanding (Feb 28, 2019) 4",2.52%
10,"Shares Short (prior month Jan 31, 2019) 4",22.74M
,0,1
0,Forward Annual Dividend Rate 4,1.76
1,Forward Annual Dividend Yield 4,2.85%
2,Trailing Annual Dividend Rate 3,1.68
3,Trailing Annual Dividend Yield 3,2.71%
4,5 Year Average Dividend Yield 4,1.92
5,Payout Ratio 4,31.00%
6,Dividend Date 3,"Mar 12, 2019"
7,Ex-Dividend Date 4,"Feb 14, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Feb 16, 1999"
