,0,1
0,Market Cap (intraday) 5,8.07B
1,Enterprise Value 3,10.41B
2,Trailing P/E ,N/A
3,Forward P/E 1,9.40
4,PEG Ratio (5 yr expected) 1,2.58
5,Price/Sales (ttm),1.43
6,Price/Book (mrq),N/A
7,Enterprise Value/Revenue 3,1.85
8,Enterprise Value/EBITDA 6,7.73
,0,1
0,Fiscal Year Ends ,"Dec 31, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,-8.05%
1,Operating Margin (ttm),19.20%
,0,1
0,Return on Assets (ttm),7.31%
1,Return on Equity (ttm),-432.68%
,0,1
0,Revenue (ttm),5.64B
1,Revenue Per Share (ttm),12.27
2,Quarterly Revenue Growth (yoy),2.30%
3,Gross Profit (ttm),2.2B
4,EBITDA ,1.35B
5,Net Income Avi to Common (ttm),-454.1M
6,Diluted EPS (ttm),-0.99
7,Quarterly Earnings Growth (yoy),30.70%
,0,1
0,Total Cash (mrq),941.3M
1,Total Cash Per Share (mrq),2.11
2,Total Debt (mrq),3.33B
3,Total Debt/Equity (mrq),N/A
4,Current Ratio (mrq),0.20
5,Book Value Per Share (mrq),-1.01
,0,1
0,Operating Cash Flow (ttm),1.06B
1,Levered Free Cash Flow (ttm),1.87B
,0,1
0,Beta (3Y Monthly) ,0.66
1,52-Week Change 3,-10.56%
2,S&P500 52-Week Change 3,4.00%
3,52 Week High 3,22.21
4,52 Week Low 3,17.39
5,50-Day Moving Average 3,18.43
6,200-Day Moving Average 3,19.48
,0,1
0,Avg Vol (3 month) 3,5.15M
1,Avg Vol (10 day) 3,6.24M
2,Shares Outstanding 5,447.25M
3,Float ,445.76M
4,% Held by Insiders 1,0.30%
5,% Held by Institutions 1,108.64%
6,"Shares Short (Oct 15, 2018) 4",33.94M
7,"Short Ratio (Oct 15, 2018) 4",6.47
8,"Short % of Float (Oct 15, 2018) 4",9.71%
9,"Short % of Shares Outstanding (Oct 15, 2018) 4",7.59%
10,"Shares Short (prior month Sep 14, 2018) 4",36.96M
,0,1
0,Forward Annual Dividend Rate 4,0.76
1,Forward Annual Dividend Yield 4,4.25%
2,Trailing Annual Dividend Rate 3,0.73
3,Trailing Annual Dividend Yield 3,4.09%
4,5 Year Average Dividend Yield 4,3.18
5,Payout Ratio 4,N/A
6,Dividend Date 3,"Sep 28, 2018"
7,Ex-Dividend Date 4,"Sep 13, 2018"
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
