,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"11,537,000","11,404,000","11,107,000","11,024,000"
2,Cost of Revenue,"7,374,000","6,980,000","6,842,000","7,035,000"
3,Gross Profit,"4,163,000","4,424,000","4,265,000","3,989,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,-,"210,000","216,000","224,000"
7,Non Recurring,-,-,-,-
8,Others,"556,000","545,000","532,000","641,000"
9,Total Operating Expenses,"9,572,000","9,214,000","8,893,000","9,024,000"
10,Operating Income or Loss,"1,965,000","2,190,000","2,214,000","2,000,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-523,000","-500,000","-510,000","-473,000"
13,Earnings Before Interest and Taxes,"1,965,000","2,190,000","2,214,000","2,000,000"
14,Interest Expense,"-700,000","-663,000","-647,000","-595,000"
15,Income Before Tax,"1,442,000","1,690,000","1,704,000","1,527,000"
16,Income Tax Expense,"181,000","542,000","581,000","543,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,261,000","1,148,000","1,123,000","984,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,261,000","1,148,000","1,123,000","984,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,261,000","1,148,000","1,123,000","984,000"
