,Earnings Estimate,Current Qtr. (Dec 2018),Next Qtr. (Mar 2019),Current Year (2018),Next Year (2019)
0,No. of Analysts,18.0,14.0,17.0,23.0
1,Avg. Estimate,1.08,0.93,4.57,4.36
2,Low Estimate,0.89,0.55,4.37,3.0
3,High Estimate,1.28,1.38,4.92,5.74
4,Year Ago EPS,0.88,1.09,3.59,4.57
,Revenue Estimate,Current Qtr. (Dec 2018),Next Qtr. (Mar 2019),Current Year (2018),Next Year (2019)
0,No. of Analysts,5,5,9,10
1,Avg. Estimate,78.38B,68.59B,316.05B,304.59B
2,Low Estimate,70.06B,66.46B,287.03B,244.88B
3,High Estimate,94.02B,72.1B,386.9B,386.41B
4,Year Ago Sales,66.52B,68.21B,244.36B,316.05B
5,Sales Growth (year/est),17.80%,0.60%,29.30%,-3.60%
,Earnings History,12/30/2017,3/30/2018,6/29/2018,9/29/2018
0,EPS Est.,1.04,1.12,1.27,1.23
1,EPS Actual,0.88,1.09,0.92,1.46
2,Difference,-0.16,-0.03,-0.35,0.23
3,Surprise %,-15.40%,-2.70%,-27.60%,18.70%
,EPS Trend,Current Qtr. (Dec 2018),Next Qtr. (Mar 2019),Current Year (2018),Next Year (2019)
0,Current Estimate,1.08,0.93,4.57,4.36
1,7 Days Ago,1.12,1.02,4.6,4.51
2,30 Days Ago,1.19,1.22,4.66,5.17
3,60 Days Ago,1.32,1.32,4.76,5.62
4,90 Days Ago,1.39,1.37,4.64,5.88
,EPS Revisions,Current Qtr. (Dec 2018),Next Qtr. (Mar 2019),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,1,N/A,N/A,N/A
1,Up Last 30 Days,4,3,5,4
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,5,3,1,1
,Growth Estimates,XOM,Industry,Sector,S&P 500
0,Current Qtr.,22.70%,N/A,N/A,0.10
1,Next Qtr.,-14.70%,N/A,N/A,0.04
2,Current Year,27.30%,N/A,N/A,0.15
3,Next Year,-4.60%,N/A,N/A,0.08
4,Next 5 Years (per annum),19.00%,N/A,N/A,0.12
5,Past 5 Years (per annum),-13.98%,N/A,N/A,N/A
